GID_3,population_BEN_2020
BEN.1.1.1_1,2269148.417838887
BEN.1.1.2_1,5979876.568700095
BEN.1.1.3_1,1104056.3345468263
BEN.1.1.4_1,5410707.802241528
BEN.1.1.5_1,2649143.4173602685
BEN.1.1.6_1,1686740.446443684
BEN.1.1.7_1,1743220.073309326
BEN.1.1.8_1,1806655.7583194892
BEN.1.1.9_1,3110050.552130736
BEN.1.1.10_1,1004032.3488150351
BEN.1.2.1_1,3438075.25880505
BEN.1.2.2_1,685331.8541404284
BEN.1.2.3_1,1274360.1722967324
BEN.1.2.4_1,2840616.139973663
BEN.1.2.5_1,2042727.157646101
BEN.1.2.6_1,1426010.12394923
BEN.1.3.1_1,4859291.889687079
BEN.1.3.2_1,1660405.005426979
BEN.1.3.3_1,2642143.940991645
BEN.1.3.4_1,2565503.0510050026
BEN.1.3.5_1,1336802.2948057286
BEN.1.3.6_1,790291.728083622
BEN.1.3.7_1,2126814.899466064
BEN.1.3.8_1,1682687.117564713
BEN.1.3.9_1,1292455.7276199113
BEN.1.3.10_1,2035226.6163450144
BEN.1.4.1_1,825983.4867946256
BEN.1.4.2_1,294867.4060338934
BEN.1.4.3_1,3436007.910931357
BEN.1.4.4_1,1674959.080475731
BEN.1.4.5_1,2295331.322114963
BEN.1.5.1_1,2037584.2392906875
BEN.1.5.2_1,6882908.850729552
BEN.1.5.3_1,2756490.6264940626
BEN.1.5.4_1,3759038.737107952
BEN.1.5.5_1,3239575.431823492
BEN.1.6.1_1,1479525.80184641
BEN.1.6.2_1,1301935.3276053767
BEN.1.6.3_1,3393124.7141630584
BEN.1.6.4_1,1877898.7290764253
BEN.1.6.5_1,2575724.927966455
BEN.2.1.1_1,824051.1530208066
BEN.2.1.2_1,149590.92244689047
BEN.2.1.3_1,770275.9015649089
BEN.2.1.4_1,768465.6332967726
BEN.2.1.5_1,1850128.397911177
BEN.2.1.6_1,978477.9074884751
BEN.2.1.7_1,884688.6265317284
BEN.2.1.8_1,570112.8842767754
BEN.2.2.1_1,2697981.860594536
BEN.2.2.2_1,1489562.9312327749
BEN.2.2.3_1,955070.4080074396
BEN.2.2.4_1,1056884.5515063417
BEN.2.3.1_1,2066264.7863122688
BEN.2.3.2_1,2479974.55302354
BEN.2.3.3_1,3013052.290798867
BEN.2.3.4_1,2817516.130414162
BEN.2.4.1_1,1694918.0709341483
BEN.2.4.2_1,903168.7182480904
BEN.2.4.3_1,1218616.9235023637
BEN.2.4.4_1,3639360.6034696745
BEN.2.4.5_1,2104525.4391868063
BEN.2.4.6_1,2217996.0844150432
BEN.2.5.1_1,1732350.6066268492
BEN.2.5.2_1,2697898.888719252
BEN.2.5.3_1,3038640.988433236
BEN.2.5.4_1,970069.5373104464
BEN.2.5.5_1,1857832.9198228717
BEN.2.5.6_1,1299193.9772826403
BEN.2.6.1_1,1757881.2813073033
BEN.2.6.2_1,1171297.230551044
BEN.2.6.3_1,588470.5978823275
BEN.2.6.4_1,369500.3946964636
BEN.2.6.5_1,964658.6213182195
BEN.2.6.6_1,2111553.4493282223
BEN.2.6.7_1,1475459.067936343
BEN.2.6.8_1,1307125.4265063587
BEN.2.7.1_1,1499127.6338046582
BEN.2.7.2_1,4108893.9498047316
BEN.2.7.3_1,2150330.662678754
BEN.2.8.1_1,649758.5473285303
BEN.2.8.2_1,525873.1362898281
BEN.2.8.3_1,645042.7842576231
BEN.2.8.4_1,1546064.789900957
BEN.2.8.5_1,4876157.141165244
BEN.2.9.1_1,5090526.815654356
BEN.2.9.2_1,1539496.3373939374
BEN.2.9.3_1,3245492.797029932
BEN.3.1.1_1,1.248413407469865E7
BEN.3.1.2_1,1.3338028204775436E7
BEN.3.1.3_1,3.1897478418618117E7
BEN.3.1.4_1,3258357.4606619105
BEN.3.1.5_1,5929094.227146013
BEN.3.1.6_1,1499053.561864275
BEN.3.1.7_1,3299183.800785081
BEN.3.1.8_1,7146000.070711147
BEN.3.1.9_1,3442695.4261513497
BEN.3.2.1_1,1008783.7361216233
BEN.3.2.2_1,836971.3010014852
BEN.3.2.3_1,2535134.414363487
BEN.3.2.4_1,642594.0905047251
BEN.3.2.5_1,402477.0659460331
BEN.3.2.6_1,530410.9583660052
BEN.3.2.7_1,262724.8140072693
BEN.3.2.8_1,2065302.307600611
BEN.3.2.9_1,193659.7226060457
BEN.3.2.10_1,1565746.2080550245
BEN.3.2.11_1,1773621.6655476887
BEN.3.2.12_1,422961.5820035151
BEN.3.3.1_1,453001.0237347171
BEN.3.3.2_1,676195.5170065482
BEN.3.3.3_1,2528871.7234573057
BEN.3.3.4_1,648409.5518879314
BEN.3.3.5_1,926506.8277734941
BEN.3.3.6_1,1292297.7366172029
BEN.3.3.7_1,249088.4472989249
BEN.3.3.8_1,483229.7289484358
BEN.3.3.9_1,548805.2500399791
BEN.3.4.1_1,774110.9901037472
BEN.3.4.2_1,1075284.6016361013
BEN.3.4.3_1,1774496.8849034936
BEN.3.4.4_1,1105473.3127867458
BEN.3.4.5_1,1811585.9614561624
BEN.3.4.6_1,1492119.871554542
BEN.3.4.7_1,2151662.4386787573
BEN.3.4.8_1,829445.7286190853
BEN.3.4.9_1,7044181.974807684
BEN.3.4.10_1,3589441.065741803
BEN.3.5.1_1,2189456.2302681697
BEN.3.5.2_1,753429.4320126703
BEN.3.5.3_1,36140.3387286317
BEN.3.5.4_1,797226.337410736
BEN.3.5.5_1,1256960.494502064
BEN.3.5.6_1,1278143.6159000318
BEN.3.5.7_1,141698.02283474786
BEN.3.6.1_1,177252.7889089248
BEN.3.6.2_1,466570.77503600816
BEN.3.6.3_1,1061328.66967956
BEN.3.6.4_1,324722.57212210255
BEN.3.6.5_1,719877.8174661524
BEN.3.6.6_1,721441.2952324663
BEN.3.6.7_1,424599.41497650143
BEN.3.6.8_1,236052.45729616948
BEN.3.6.9_1,794426.6446606206
BEN.3.6.10_1,357904.3024825602
BEN.3.7.1_1,339126.9021250254
BEN.3.7.2_1,277823.34114783787
BEN.3.7.3_1,690715.3797240902
BEN.3.7.4_1,1252898.809821723
BEN.3.7.5_1,744440.3689126407
BEN.3.7.6_1,715220.7190468289
BEN.3.8.1_1,761185.6062836886
BEN.3.8.2_1,434093.88195872563
BEN.3.8.3_1,1395284.899892633
BEN.3.8.4_1,1149079.5944073843
BEN.3.8.5_1,524342.3542666866
BEN.3.8.6_1,689799.9410949401
BEN.3.8.7_1,727110.2502727733
BEN.3.8.8_1,1108939.6679535802
BEN.3.8.9_1,1806608.7717045513
BEN.3.8.10_1,983875.7755959899
BEN.3.8.11_1,1163840.9442858542
BEN.4.1.1_1,3603546.422046236
BEN.4.1.2_1,2060189.566578353
BEN.4.1.3_1,1994981.1320634277
BEN.4.1.4_1,2165843.67903144
BEN.4.1.5_1,3361616.173104167
BEN.4.2.1_1,3552175.084730837
BEN.4.2.2_1,3121195.5170092285
BEN.4.2.3_1,3108689.721958516
BEN.4.2.4_1,2533712.022795379
BEN.4.2.5_1,4425240.857561024
BEN.4.2.6_1,2259507.6945347427
BEN.4.3.1_1,5354868.256147223
BEN.4.3.2_1,1133909.028017153
BEN.4.3.3_1,1261865.0540035244
BEN.4.3.4_1,2304781.3944724747
BEN.4.3.5_1,2493699.83694056
BEN.4.4.1_1,1720062.1292169155
BEN.4.4.2_1,2473256.131453612
BEN.4.4.3_1,3250437.375406564
BEN.4.4.4_1,3643830.680900801
BEN.4.4.5_1,1722162.8875334926
BEN.4.4.6_1,888660.2209602123
BEN.4.4.7_1,2082100.0979720454
BEN.4.5.1_1,1.3472599988171892E7
BEN.4.5.2_1,6597966.793178394
BEN.4.5.3_1,7490177.467956491
BEN.4.6.1_1,2747006.3065755568
BEN.4.6.2_1,1484468.3207423927
BEN.4.6.3_1,706707.1725976673
BEN.4.6.4_1,1064082.9342303663
BEN.4.6.5_1,1249686.9336130952
BEN.4.6.6_1,1200357.5828547394
BEN.4.7.1_1,1912558.4060558644
BEN.4.7.2_1,2197643.9067146573
BEN.4.7.3_1,1820779.3841078295
BEN.4.7.4_1,3641229.586368435
BEN.4.8.1_1,2959792.766164047
BEN.4.8.2_1,6331376.016962431
BEN.4.8.3_1,1477771.8997162895
BEN.4.8.4_1,5570768.520966067
BEN.4.8.5_1,2383727.84161864
BEN.4.8.6_1,3701314.9881911
BEN.4.8.7_1,5811286.798182979
BEN.5.1.1_1,1046260.1089229278
BEN.5.1.2_1,773961.6288729804
BEN.5.1.3_1,1103489.3791904305
BEN.5.1.4_1,634705.2645978292
BEN.5.1.5_1,1065688.236966377
BEN.5.1.6_1,1700874.1986598973
BEN.5.1.7_1,538590.3134614903
BEN.5.1.8_1,1798791.3288401754
BEN.5.1.9_1,1473414.079816964
BEN.5.2.1_1,963433.0533215705
BEN.5.2.2_1,382860.35695462726
BEN.5.2.3_1,843310.7335703983
BEN.5.2.4_1,531374.430075821
BEN.5.2.5_1,926037.2652834578
BEN.5.2.6_1,712763.8272567746
BEN.5.2.7_1,619451.4828768107
BEN.5.2.8_1,3328352.6889578234
BEN.5.2.9_1,1178007.0589278587
BEN.5.2.10_1,506912.0454021381
BEN.5.3.1_1,2676814.246745921
BEN.5.3.2_1,2022566.2026997858
BEN.5.3.3_1,950271.7102285046
BEN.5.3.4_1,586489.910243614
BEN.5.3.5_1,774300.3041300462
BEN.5.3.6_1,704953.6217873961
BEN.5.3.7_1,938996.3837602659
BEN.5.3.8_1,388324.1971705115
BEN.5.3.9_1,2135748.461306925
BEN.5.3.10_1,689152.2209805652
BEN.5.4.1_1,2191642.784937152
BEN.5.4.2_1,2267947.158925089
BEN.5.4.3_1,1963719.788260221
BEN.5.4.4_1,914977.7234207082
BEN.5.4.5_1,1790091.114581425
BEN.5.4.6_1,361401.39040700864
BEN.5.4.7_1,228597.05219286762
BEN.5.4.8_1,809143.4863581123
BEN.5.4.9_1,3507872.3666279376
BEN.5.5.1_1,1714663.1529170056
BEN.5.5.2_1,2124639.016584862
BEN.5.5.3_1,735705.7889221866
BEN.5.5.4_1,975203.8128141653
BEN.5.5.5_1,954926.2913073221
BEN.5.5.6_1,241435.2276216619
BEN.5.5.7_1,1063387.8558351183
BEN.5.5.8_1,299810.11552038754
BEN.5.5.9_1,890549.080982187
BEN.5.5.10_1,1041288.3157336969
BEN.5.5.11_1,991330.8554618842
BEN.5.5.12_1,1161630.9402537176
BEN.5.5.13_1,535721.081450279
BEN.5.5.14_1,1634499.6079936908
BEN.5.6.1_1,218326.88652934652
BEN.5.6.2_1,1452266.4722222306
BEN.5.6.3_1,208460.62251422365
BEN.5.6.4_1,1560854.7047015808
BEN.5.6.5_1,1717936.0435875016
BEN.5.6.6_1,953232.5593884139
BEN.5.6.7_1,264626.6965450214
BEN.5.6.8_1,1754932.9305728336
BEN.6.1.1_1,1419355.923922049
BEN.6.1.2_1,5180129.712526286
BEN.6.1.3_1,5695858.614466257
BEN.6.1.4_1,3543790.8645245945
BEN.6.2.1_1,753976.0313204897
BEN.6.2.2_1,2322153.206483646
BEN.6.2.3_1,1576181.600559158
BEN.6.2.4_1,1965448.1243448595
BEN.6.5.1_1,1257435.537091109
BEN.6.5.2_1,4515868.059663456
BEN.6.5.3_1,668279.9696627897
BEN.6.5.4_1,1143290.5455433652
BEN.6.5.5_1,4060314.4543177197
BEN.6.5.6_1,2680550.4155208226
BEN.6.5.7_1,3511367.728426233
BEN.6.5.8_1,2120554.3837076244
BEN.6.5.9_1,1902740.9166290576
BEN.6.6.1_1,1208552.3065701653
BEN.6.6.2_1,1840048.5474850228
BEN.6.6.3_1,1012316.5058295599
BEN.6.4.1_1,1619083.1883595786
BEN.6.4.2_1,1462977.5540767289
BEN.6.4.3_1,1185412.4944519494
BEN.6.4.4_1,2058803.043395205
BEN.6.4.5_1,1236799.7862238202
BEN.6.4.6_1,698493.1777499327
BEN.7.1.1_1,3227459.03947197
BEN.7.1.2_1,3135873.00993719
BEN.7.1.3_1,1812666.7301912215
BEN.7.1.4_1,3054535.478668332
BEN.7.1.5_1,1503898.153798181
BEN.7.1.6_1,1734818.8381953817
BEN.7.1.7_1,1929757.305742286
BEN.7.2.1_1,1813683.9756664794
BEN.7.2.2_1,515763.47593647084
BEN.7.2.3_1,1684335.5713723574
BEN.7.2.4_1,1008641.6551037359
BEN.7.2.5_1,1591317.5740387556
BEN.7.2.6_1,1450202.2981750492
BEN.7.2.7_1,1041179.0410807292
BEN.7.2.8_1,1499078.1610363533
BEN.7.2.9_1,1027002.0392372876
BEN.7.2.10_1,2498310.457713859
BEN.9.6.1_1,2231007.660856149
BEN.9.6.2_1,2684539.9068633756
BEN.9.6.3_1,674462.7687221757
BEN.9.6.4_1,1087293.6882809799
BEN.9.6.5_1,1216073.683023968
BEN.9.6.6_1,2011294.1031108191
BEN.9.6.7_1,1425255.8793719113
BEN.7.4.1_1,1961834.653151508
BEN.7.4.2_1,1590816.8078075915
BEN.7.4.3_1,862678.3638257795
BEN.7.4.4_1,1973429.0965200984
BEN.7.4.5_1,505704.54228958423
BEN.7.4.6_1,1052027.8269965684
BEN.7.4.7_1,1999438.1595862885
BEN.7.4.8_1,1078036.7827819819
BEN.7.5.1_1,1175000.2562936815
BEN.7.5.2_1,889392.8345960879
BEN.7.5.3_1,964737.7396652509
BEN.7.5.4_1,756872.6435665356
BEN.7.5.5_1,805726.4450867897
BEN.7.5.6_1,2855470.162116254
BEN.7.5.7_1,1579843.4128560384
BEN.7.5.8_1,1096560.3080074526
BEN.7.5.9_1,800701.4696637321
BEN.7.5.10_1,525188.5182121727
BEN.7.5.11_1,296495.5620209039
BEN.7.6.1_1,653297.5418789734
BEN.7.6.2_1,574854.4854565188
BEN.7.6.3_1,1097256.9531331372
BEN.7.6.4_1,939573.8186468398
BEN.7.6.5_1,933971.554849543
BEN.7.6.6_1,1048030.089271216
BEN.7.6.7_1,2493500.733584297
BEN.8.1.1_1,5282711.691674924
BEN.8.1.2_1,3513607.9705212163
BEN.8.1.3_1,3768858.890820312
BEN.8.1.4_1,1.0513874920003483E7
BEN.8.1.5_1,6853988.087214688
BEN.8.1.6_1,2723966.8929683305
BEN.8.1.7_1,4162459.0519299083
BEN.8.1.8_1,4609698.5150563
BEN.8.1.9_1,4374750.454679482
BEN.8.1.10_1,4688329.502769053
BEN.8.1.11_1,3352494.386312808
BEN.8.1.12_1,3228186.96689453
BEN.8.1.13_1,4863118.931877538
BEN.9.1.1_1,1765480.8594868386
BEN.9.1.2_1,1619083.227005543
BEN.9.1.3_1,592413.9640885895
BEN.9.1.4_1,977088.2997766988
BEN.9.2.1_1,1177447.273159312
BEN.9.2.2_1,1090577.9619138837
BEN.9.2.3_1,1771411.1661564852
BEN.9.2.4_1,778423.0844626337
BEN.9.2.5_1,1557459.9695089906
BEN.9.2.6_1,802182.9333276784
BEN.9.2.7_1,1049162.0396879904
BEN.9.3.1_1,1484152.658134639
BEN.9.3.2_1,815678.385040104
BEN.9.3.3_1,2455900.9711818923
BEN.9.3.4_1,924836.2998053762
BEN.9.3.5_1,1565258.7276010546
BEN.9.4.1_1,1105843.6143484665
BEN.9.4.2_1,749823.9317076512
BEN.9.4.3_1,1105368.6130616262
BEN.9.4.4_1,497119.7008875526
BEN.9.4.5_1,1307273.7618295092
BEN.9.4.6_1,900324.1376369103
BEN.9.4.7_1,262827.6348394058
BEN.9.5.1_1,614006.1630429734
BEN.9.5.2_1,2251561.681160213
BEN.9.5.3_1,1468663.8560252474
BEN.9.5.4_1,1790084.7196708962
BEN.9.5.5_1,2944797.487125411
BEN.9.5.6_1,810689.742048256
BEN.9.7.1_1,1205649.4441044212
BEN.9.7.2_1,1426399.2095026963
BEN.9.7.3_1,1140722.1450285672
BEN.9.7.4_1,966959.8147540524
BEN.9.7.5_1,1824930.3750333
BEN.9.7.6_1,4888720.86385851
BEN.10.1.1_1,909274.0888959104
BEN.10.1.2_1,1495719.1454170973
BEN.10.1.3_1,2973356.84921818
BEN.10.1.4_1,3203102.649020565
BEN.10.1.5_1,2929973.290823663
BEN.10.1.6_1,2516462.1178050307
BEN.10.2.1_1,808057.2748936072
BEN.10.2.2_1,597568.5255298391
BEN.10.2.3_1,201277.33957773843
BEN.10.2.4_1,1873419.333444633
BEN.10.2.5_1,664629.3516127341
BEN.10.2.6_1,917385.2306444361
BEN.10.2.7_1,982251.1566868197
BEN.10.2.8_1,511128.6166092217
BEN.10.3.1_1,2184213.0460315184
BEN.10.3.2_1,856923.4017719645
BEN.10.3.3_1,718778.4579772283
BEN.10.4.1_1,2457313.3236344857
BEN.10.4.2_1,1106906.0480868472
BEN.10.4.3_1,1005589.0827811451
BEN.10.4.4_1,1994213.5474920534
BEN.10.4.5_1,758641.8805908798
BEN.10.5.1_1,3621977.8306116434
BEN.10.5.2_1,2018657.869510666
BEN.10.5.3_1,1833220.5151063218
BEN.10.5.4_1,776114.9474480124
BEN.10.5.5_1,951708.6735482014
BEN.10.5.6_1,1430485.740798292
BEN.10.5.7_1,731372.4046724208
BEN.10.6.1_1,351125.1455119118
BEN.10.6.2_1,903551.1599089681
BEN.10.6.3_1,1108354.015487551
BEN.10.6.4_1,898492.2941717705
BEN.10.6.5_1,413519.10281811905
BEN.10.7.1_1,1604582.119463153
BEN.10.7.2_1,774090.7609067429
BEN.10.7.3_1,1741444.4124147315
BEN.10.7.4_1,656663.8389622705
BEN.10.7.5_1,503615.304529048
BEN.10.7.6_1,2380112.479873717
BEN.10.7.7_1,289981.7751561781
BEN.10.8.1_1,6492733.288882503
BEN.10.8.2_1,2305936.1402683635
BEN.10.8.3_1,1911039.3967315962
BEN.10.8.4_1,6575199.567430683
BEN.10.8.5_1,7284490.999798463
BEN.10.9.1_1,4411066.107747637
BEN.10.9.2_1,1930443.3173758106
BEN.10.9.3_1,6162520.4282346275
BEN.10.9.4_1,7744575.669184662
BEN.10.9.5_1,5696252.3061993765
BEN.10.9.6_1,7276748.707454879
BEN.11.1.1_1,2468939.8144688657
BEN.11.1.2_1,1932579.7657601156
BEN.11.1.3_1,411807.76146778784
BEN.11.1.4_1,2367315.0139489262
BEN.11.1.5_1,2373041.4436843563
BEN.11.1.6_1,1411237.383380964
BEN.11.2.1_1,3768654.4334850856
BEN.11.2.2_1,1618511.5412734086
BEN.11.2.3_1,3697512.740247
BEN.11.2.4_1,583002.4656945321
BEN.11.2.5_1,1778389.9001312857
BEN.11.2.6_1,783852.6990519207
BEN.11.3.1_1,3080926.049593514
BEN.11.3.2_1,3961911.4752345
BEN.11.3.3_1,1742032.4733282668
BEN.11.3.4_1,3465714.6465033735
BEN.11.3.5_1,2932593.849317388
BEN.11.3.6_1,1274941.9097029592
BEN.11.4.1_1,1841829.8428807873
BEN.11.4.2_1,1576855.3732350986
BEN.11.4.3_1,4541504.174296363
BEN.11.4.4_1,2292725.645923091
BEN.11.4.5_1,1496115.7744051751
BEN.11.5.1_1,3614519.373520496
BEN.11.5.2_1,1284049.8031087837
BEN.11.5.3_1,1190699.4129209032
BEN.11.5.4_1,1910591.957706855
BEN.11.5.5_1,2214571.615142464
BEN.11.5.6_1,1400970.8636508423
BEN.12.1.1_1,637995.87760291
BEN.12.1.2_1,824700.2516582555
BEN.12.1.3_1,2396772.635462144
BEN.12.1.4_1,791767.3296932438
BEN.12.1.5_1,473806.7563859528
BEN.12.1.6_1,927311.7760408287
BEN.12.1.7_1,1083347.5004668597
BEN.12.2.1_1,615260.7127857283
BEN.12.2.2_1,848760.2531222472
BEN.12.2.3_1,398334.0005566167
BEN.12.2.4_1,1006807.6184227437
BEN.12.2.5_1,636905.7739110609
BEN.12.2.6_1,1233572.7917462818
BEN.12.2.7_1,350638.88353456993
BEN.12.2.8_1,839362.020428916
BEN.12.2.9_1,1872289.225422967
BEN.12.2.10_1,196204.2617837944
BEN.12.3.1_1,2523676.129698988
BEN.12.3.2_1,1620162.6066315295
BEN.12.3.3_1,582958.0488511028
BEN.12.3.4_1,487971.33043715544
BEN.12.3.5_1,1890652.1683661954
BEN.12.3.6_1,3224242.519040699
BEN.12.3.7_1,1287249.6998232373
BEN.12.3.8_1,2106972.721831678
BEN.12.3.9_1,1339613.1422147872
BEN.12.3.10_1,3294865.1109770522
BEN.12.4.1_1,136720.04099001415
BEN.12.4.2_1,165328.46715117808
BEN.12.4.3_1,2059520.3149529032
BEN.12.4.4_1,154005.1095755783
BEN.12.4.5_1,1230408.201121998
BEN.12.4.6_1,188226.77188858326
BEN.12.4.7_1,171908.6527255189
BEN.12.4.8_1,474568.4556455726
BEN.12.5.1_1,185535.2879389145
BEN.12.5.2_1,1227109.3304791772
BEN.12.5.3_1,736960.0652162889
BEN.12.5.4_1,3339610.4160818537
BEN.12.5.5_1,253255.3490074008
BEN.12.5.6_1,151033.07177619197
BEN.12.5.7_1,1766542.8683046664
BEN.12.5.8_1,365069.020658306
BEN.12.5.9_1,410227.92255000706
BEN.12.5.10_1,217624.4504528272
BEN.12.5.11_1,3580002.1008981164
BEN.12.5.12_1,277348.240113651
BEN.12.6.1_1,1116905.8431741456
BEN.12.6.2_1,2138661.160710534
BEN.12.6.3_1,1141277.488857225
BEN.12.6.4_1,2124612.599265932
BEN.12.7.1_1,1582653.289527563
BEN.12.7.2_1,1045907.3844873768
BEN.12.7.3_1,1297007.125242464
BEN.12.7.4_1,566796.3118345968
BEN.12.7.5_1,1206397.063232631
BEN.12.7.6_1,4140148.0822271756
BEN.12.7.7_1,2265519.137046695
BEN.12.7.8_1,388297.93790594384
BEN.12.8.1_1,339970.5631898169
BEN.12.8.2_1,1164410.6598070646
BEN.12.8.3_1,474064.1618036606
BEN.12.8.4_1,2199841.632694286
BEN.12.8.5_1,1344272.86187844
BEN.12.8.6_1,772052.2019250015
BEN.12.9.1_1,1231657.2251043138
BEN.12.9.2_1,1084218.8417355407
BEN.12.9.3_1,777431.5660533231
BEN.12.9.4_1,1076893.9832292164
BEN.12.9.5_1,546376.3402507707
BEN.12.9.6_1,537248.9415083049
BEN.12.9.7_1,692473.7951354381
BEN.12.9.8_1,2000893.5361135167
BEN.12.9.9_1,837723.222530081
BEN.12.9.10_1,1099043.2571994562
BEN.12.9.11_1,591515.4117628804
