GID_3,volume_batis_m3
BEN.1.1.1_1,1.2722261141176468E7
BEN.1.1.2_1,1.4049128725490186E7
BEN.1.1.3_1,3174728.882352939
BEN.1.1.4_1,1.027870596862745E7
BEN.1.1.5_1,5608444.14509804
BEN.1.1.6_1,4758329.623529411
BEN.1.1.7_1,4226139.278431373
BEN.1.1.8_1,5992199.450980392
BEN.1.1.9_1,2738688.3921568636
BEN.1.1.10_1,2677160.2039215686
BEN.1.2.1_1,1.0248931772549018E7
BEN.1.2.2_1,5376086.235294117
BEN.1.2.3_1,4177709.4196078423
BEN.1.2.4_1,6399553.949019607
BEN.1.2.5_1,7437126.278431371
BEN.1.2.6_1,2731775.5607843134
BEN.1.3.1_1,5586455.717647061
BEN.1.3.2_1,1132257.2431372548
BEN.1.3.3_1,4781150.6823529415
BEN.1.3.4_1,7536401.725490194
BEN.1.3.5_1,1.574711962352941E7
BEN.1.3.6_1,3852961.3372549014
BEN.1.3.7_1,3571034.403921569
BEN.1.3.8_1,1785386.4705882354
BEN.1.3.9_1,5416281.035294119
BEN.1.3.10_1,4919086.172549019
BEN.1.4.1_1,2308168.921568628
BEN.1.4.2_1,1288698.6235294112
BEN.1.4.3_1,4005280.196078431
BEN.1.4.4_1,1115204.6196078435
BEN.1.4.5_1,1345566.48627451
BEN.1.5.1_1,3999804.5960784317
BEN.1.5.2_1,5980237.843137253
BEN.1.5.3_1,3183747.94117647
BEN.1.5.4_1,1.864538723137255E7
BEN.1.5.5_1,2361930.1607843144
BEN.1.6.1_1,2966923.756862744
BEN.1.6.2_1,1796403.294117647
BEN.1.6.3_1,3818659.0313725495
BEN.1.6.4_1,6445084.807843134
BEN.1.6.5_1,4081862.976470586
BEN.2.1.1_1,4416112.615686276
BEN.2.1.2_1,422578.6666666667
BEN.2.1.3_1,1662693.780392157
BEN.2.1.4_1,644819.737254902
BEN.2.1.5_1,3909087.803921568
BEN.2.1.6_1,2083489.1294117654
BEN.2.1.7_1,2105048.0431372547
BEN.2.1.8_1,1213490.192156863
BEN.2.2.1_1,7091155.2
BEN.2.2.2_1,1665946.8352941184
BEN.2.2.3_1,1529393.3254901955
BEN.2.2.4_1,930010.2313725488
BEN.2.3.1_1,4608835.521568624
BEN.2.3.2_1,5524222.93333333
BEN.2.3.3_1,1.3191310866666669E7
BEN.2.3.4_1,1810204.894117647
BEN.2.4.1_1,6000092.6313725505
BEN.2.4.2_1,2488489.321568628
BEN.2.4.3_1,2918119.149019608
BEN.2.4.4_1,8587510.6745098
BEN.2.4.5_1,8742928.729411766
BEN.2.4.6_1,5407742.050980393
BEN.2.5.1_1,4079494.1411764706
BEN.2.5.2_1,5633605.752941175
BEN.2.5.3_1,7951999.752941176
BEN.2.5.4_1,2279972.125490195
BEN.2.5.5_1,3741031.5372549016
BEN.2.5.6_1,2025295.6705882356
BEN.2.6.1_1,5706561.858823529
BEN.2.6.2_1,1635128.2549019607
BEN.2.6.3_1,1494211.4431372548
BEN.2.6.4_1,3232567.1176470597
BEN.2.6.5_1,8731698.329411766
BEN.2.6.6_1,2.44096067647059E7
BEN.2.6.7_1,2272278.6901960787
BEN.2.6.8_1,4554952.490196078
BEN.2.7.1_1,3171028.729411765
BEN.2.7.2_1,1.2175522533333335E7
BEN.2.7.3_1,4365294.474509805
BEN.2.8.1_1,2303234.690196078
BEN.2.8.2_1,1824681.5568627452
BEN.2.8.3_1,2282477.929411764
BEN.2.8.4_1,1.6576912223529413E7
BEN.2.8.5_1,2316028.3686274504
BEN.2.9.1_1,3187051.2156862747
BEN.2.9.2_1,2376403.298039216
BEN.2.9.3_1,5342048.176470589
BEN.3.1.1_1,6.056210596078437E7
BEN.3.1.2_1,9.286265334901956E7
BEN.3.1.3_1,2.116102134156863E8
BEN.3.1.4_1,1.7039984188235298E7
BEN.3.1.5_1,6.2169768729411796E7
BEN.3.1.6_1,2472112.666666667
BEN.3.1.7_1,1.9253543019607846E7
BEN.3.1.8_1,4.894124696470588E7
BEN.3.1.9_1,5249149.737254903
BEN.3.2.1_1,1876530.3686274523
BEN.3.2.2_1,2915850.482352941
BEN.3.2.3_1,1.3216410054901958E7
BEN.3.2.4_1,2145150.003921569
BEN.3.2.5_1,501768.02352941193
BEN.3.2.6_1,1342792.596078431
BEN.3.2.7_1,1235654.082352941
BEN.3.2.8_1,3202663.705882353
BEN.3.2.9_1,470339.86274509813
BEN.3.2.10_1,6105871.282352942
BEN.3.2.11_1,3628904.1215686263
BEN.3.2.12_1,636719.6666666667
BEN.3.3.1_1,1033014.4784313723
BEN.3.3.2_1,2483506.9411764713
BEN.3.3.3_1,1.4200349866666658E7
BEN.3.3.4_1,1102376.3921568627
BEN.3.3.5_1,2562067.6352941175
BEN.3.3.6_1,2609713.5450980403
BEN.3.3.7_1,654573.6274509806
BEN.3.3.8_1,1843595.4862745097
BEN.3.3.9_1,2608160.6392156873
BEN.3.4.1_1,1644697.1921568622
BEN.3.4.2_1,8558346.294117648
BEN.3.4.3_1,9640312.015686277
BEN.3.4.4_1,4345047.125490198
BEN.3.4.5_1,1488161.388235294
BEN.3.4.6_1,1122923.5058823524
BEN.3.4.7_1,2494379.5333333337
BEN.3.4.8_1,653091.4431372546
BEN.3.4.9_1,3.862019600784317E7
BEN.3.4.10_1,4685901.878431369
BEN.3.5.1_1,503582.67058823525
BEN.3.5.2_1,478550.0
BEN.3.5.3_1,0.0
BEN.3.5.4_1,6016743.607843138
BEN.3.5.5_1,1120068.325490196
BEN.3.5.6_1,216144.96862745093
BEN.3.5.7_1,452824.39999999997
BEN.3.6.1_1,579102.0823529413
BEN.3.6.2_1,3545222.211764706
BEN.3.6.3_1,3430256.9882352958
BEN.3.6.4_1,1592691.1215686274
BEN.3.6.5_1,7166494.345098041
BEN.3.6.6_1,1687520.7960784317
BEN.3.6.7_1,1707021.7411764704
BEN.3.6.8_1,1516321.9490196076
BEN.3.6.9_1,5271634.670588234
BEN.3.6.10_1,1695708.4862745088
BEN.3.7.1_1,1529457.9294117652
BEN.3.7.2_1,894844.454901961
BEN.3.7.3_1,2284998.392156862
BEN.3.7.4_1,4784665.741176471
BEN.3.7.5_1,6982333.466666665
BEN.3.7.6_1,2905631.2470588237
BEN.3.8.1_1,1910220.0039215682
BEN.3.8.2_1,1257824.4784313724
BEN.3.8.3_1,811181.1921568629
BEN.3.8.4_1,3527149.431372549
BEN.3.8.5_1,1979115.996078431
BEN.3.8.6_1,2244051.941176471
BEN.3.8.7_1,1434230.4549019607
BEN.3.8.8_1,913101.1764705882
BEN.3.8.9_1,6453815.921568627
BEN.3.8.10_1,3003782.1999999993
BEN.3.8.11_1,4410404.631372548
BEN.4.1.1_1,1.248688961960784E7
BEN.4.1.2_1,5403488.196078431
BEN.4.1.3_1,6406765.266666668
BEN.4.1.4_1,7664983.733333333
BEN.4.1.5_1,8585481.941176469
BEN.4.2.1_1,2895570.0039215684
BEN.4.2.2_1,1.012867925098039E7
BEN.4.2.3_1,4429576.447058823
BEN.4.2.4_1,6423243.356862745
BEN.4.2.5_1,5721153.996078432
BEN.4.2.6_1,3279151.7568627456
BEN.4.3.1_1,7263507.494117647
BEN.4.3.2_1,2477086.749019609
BEN.4.3.3_1,9113001.91372549
BEN.4.3.4_1,5423080.623529414
BEN.4.3.5_1,6929804.513725489
BEN.4.4.1_1,4114330.8352941205
BEN.4.4.2_1,4832019.403921572
BEN.4.4.3_1,2.024743864313726E7
BEN.4.4.4_1,1.0655619964705884E7
BEN.4.4.5_1,4656724.74509804
BEN.4.4.6_1,1754388.592156862
BEN.4.4.7_1,4185873.321568627
BEN.4.5.1_1,6.942137281176469E7
BEN.4.5.2_1,4.1730284360784285E7
BEN.4.5.3_1,5.9523181992156856E7
BEN.4.6.1_1,7179296.298039215
BEN.4.6.2_1,3938294.2745098053
BEN.4.6.3_1,1084531.9843137253
BEN.4.6.4_1,2177577.2313725487
BEN.4.6.5_1,5053558.71764706
BEN.4.6.6_1,1751480.7999999996
BEN.4.7.1_1,2881501.6392156864
BEN.4.7.2_1,6886880.799999999
BEN.4.7.3_1,3778740.1294117644
BEN.4.7.4_1,9810103.164705882
BEN.4.8.1_1,2662944.466666667
BEN.4.8.2_1,9344919.105882354
BEN.4.8.3_1,2308395.0823529414
BEN.4.8.4_1,1.2349194145098045E7
BEN.4.8.5_1,5702957.643137256
BEN.4.8.6_1,1.34458599882353E7
BEN.4.8.7_1,1.2464503517647065E7
BEN.5.1.1_1,2046324.8470588236
BEN.5.1.2_1,2775085.772549019
BEN.5.1.3_1,3427087.0941176475
BEN.5.1.4_1,6469400.129411765
BEN.5.1.5_1,1500765.5843137254
BEN.5.1.6_1,6905325.19607843
BEN.5.1.7_1,1416349.576470588
BEN.5.1.8_1,1759401.6588235297
BEN.5.1.9_1,4519433.878431372
BEN.5.2.1_1,934630.9058823528
BEN.5.2.2_1,8441255.380392155
BEN.5.2.3_1,8379013.364705884
BEN.5.2.4_1,1408143.9411764706
BEN.5.2.5_1,2283123.1372549017
BEN.5.2.6_1,1793202.7254901964
BEN.5.2.7_1,1472173.0588235296
BEN.5.2.8_1,7446806.243137254
BEN.5.2.9_1,2132367.839215686
BEN.5.2.10_1,1219249.905882353
BEN.5.3.1_1,3657742.5882352944
BEN.5.3.2_1,2520068.6196078425
BEN.5.3.3_1,1.1713823176470589E7
BEN.5.3.4_1,2524512.666666667
BEN.5.3.5_1,1852288.2549019607
BEN.5.3.6_1,2090153.945098039
BEN.5.3.7_1,1951049.1725490193
BEN.5.3.8_1,876957.525490196
BEN.5.3.9_1,3491212.8823529407
BEN.5.3.10_1,2347625.8666666667
BEN.5.4.1_1,2773389.7999999993
BEN.5.4.2_1,1841616.6431372548
BEN.5.4.3_1,2894560.7098039207
BEN.5.4.4_1,1526683.9725490194
BEN.5.4.5_1,5052233.74117647
BEN.5.4.6_1,4573455.9294117605
BEN.5.4.7_1,2446708.984313726
BEN.5.4.8_1,4869962.5372549025
BEN.5.4.9_1,5522780.4431372555
BEN.5.5.1_1,2147512.0705882353
BEN.5.5.2_1,5746844.556862745
BEN.5.5.3_1,1161605.035294118
BEN.5.5.4_1,3288311.552941176
BEN.5.5.5_1,2516089.9568627453
BEN.5.5.6_1,365452.9647058824
BEN.5.5.7_1,2664292.2431372553
BEN.5.5.8_1,907314.1098039217
BEN.5.5.9_1,2374263.968627452
BEN.5.5.10_1,2999862.4235294126
BEN.5.5.11_1,3454627.0941176466
BEN.5.5.12_1,6922078.960784314
BEN.5.5.13_1,8652903.866666665
BEN.5.5.14_1,5067414.91372549
BEN.5.6.1_1,3680048.4862745083
BEN.5.6.2_1,1206886.8980392152
BEN.5.6.3_1,6508904.917647059
BEN.5.6.4_1,3012674.3960784315
BEN.5.6.5_1,3111245.027450981
BEN.5.6.6_1,1598397.1529411764
BEN.5.6.7_1,6050240.352941176
BEN.5.6.8_1,3269745.6
BEN.6.1.1_1,4468449.803921568
BEN.6.1.2_1,1.727018070980392E7
BEN.6.1.3_1,8549525.996078435
BEN.6.1.4_1,8040017.815686274
BEN.6.2.1_1,2034856.2117647056
BEN.6.2.2_1,7019272.352941178
BEN.6.2.3_1,3941607.984313726
BEN.6.2.4_1,4040808.3098039217
BEN.6.5.1_1,6065307.588235294
BEN.6.5.2_1,1.093858814901961E7
BEN.6.5.3_1,1539576.0039215693
BEN.6.5.4_1,4685569.968627452
BEN.6.5.5_1,8399296.392156864
BEN.6.5.6_1,6563536.498039215
BEN.6.5.7_1,9680010.04313725
BEN.6.5.8_1,3451420.2941176468
BEN.6.5.9_1,4583498.2627450945
BEN.6.6.1_1,1.835317613333333E7
BEN.6.6.2_1,2.333357508235294E7
BEN.6.6.3_1,1.1673447996078428E7
BEN.6.4.1_1,3371209.8509803927
BEN.6.4.2_1,1831555.1490196083
BEN.6.4.3_1,7278997.427450978
BEN.6.4.4_1,6565384.505882353
BEN.6.4.5_1,1509382.4862745097
BEN.6.4.6_1,1125744.6627450981
BEN.7.1.1_1,5727381.188235296
BEN.7.1.2_1,3906676.6431372548
BEN.7.1.3_1,2.1083987439215686E7
BEN.7.1.4_1,5814644.674509803
BEN.7.1.5_1,2166582.1411764715
BEN.7.1.6_1,6676893.43137255
BEN.7.1.7_1,2424734.635294117
BEN.7.2.1_1,3298140.498039216
BEN.7.2.2_1,2318816.5450980393
BEN.7.2.3_1,3390546.443137255
BEN.7.2.4_1,2119177.2549019614
BEN.7.2.5_1,3055512.5803921567
BEN.7.2.6_1,2862933.827450981
BEN.7.2.7_1,1745792.5176470582
BEN.7.2.8_1,1485406.9450980385
BEN.7.2.9_1,1671643.3764705884
BEN.7.2.10_1,4086707.0901960772
BEN.9.6.1_1,3560580.654901961
BEN.9.6.2_1,3803618.003921569
BEN.9.6.3_1,1845327.4823529408
BEN.9.6.4_1,1266503.8784313726
BEN.9.6.5_1,1236906.4549019607
BEN.9.6.6_1,7576702.560784313
BEN.9.6.7_1,2382846.6352941166
BEN.7.4.1_1,4957940.313725493
BEN.7.4.2_1,3347515.462745098
BEN.7.4.3_1,2937215.0196078443
BEN.7.4.4_1,5508819.97254902
BEN.7.4.5_1,1175416.6431372552
BEN.7.4.6_1,8647176.690196075
BEN.7.4.7_1,3359276.8705882356
BEN.7.4.8_1,4853587.819607843
BEN.7.5.1_1,652967.6078431371
BEN.7.5.2_1,572973.6823529411
BEN.7.5.3_1,622837.1568627451
BEN.7.5.4_1,1235203.1843137261
BEN.7.5.5_1,1182801.694117647
BEN.7.5.6_1,5947127.301960785
BEN.7.5.7_1,2297759.294117647
BEN.7.5.8_1,2441872.31372549
BEN.7.5.9_1,162595.72549019606
BEN.7.5.10_1,684747.9764705884
BEN.7.5.11_1,260871.07450980393
BEN.7.6.1_1,632338.133333333
BEN.7.6.2_1,700800.5137254901
BEN.7.6.3_1,3741966.8588235294
BEN.7.6.4_1,811563.8980392157
BEN.7.6.5_1,2282125.0117647056
BEN.7.6.6_1,1056180.9294117643
BEN.7.6.7_1,5802898.576470589
BEN.8.1.1_1,3.02941004392157E7
BEN.8.1.2_1,9913779.258823534
BEN.8.1.3_1,8770363.14901961
BEN.8.1.4_1,2.6225035313725498E7
BEN.8.1.5_1,1.6065574533333339E7
BEN.8.1.6_1,1.7374331643137258E7
BEN.8.1.7_1,1.8498125670588233E7
BEN.8.1.8_1,1.1558066709803917E7
BEN.8.1.9_1,1.5135665823529411E7
BEN.8.1.10_1,2.1600895776470594E7
BEN.8.1.11_1,9760780.650980392
BEN.8.1.12_1,8914886.513725493
BEN.8.1.13_1,2.2207745898039214E7
BEN.9.1.1_1,1497288.5254901962
BEN.9.1.2_1,2264417.7882352946
BEN.9.1.3_1,505853.05882352946
BEN.9.1.4_1,1222163.5568627452
BEN.9.2.1_1,932574.6470588235
BEN.9.2.2_1,679614.4274509804
BEN.9.2.3_1,3736845.023529411
BEN.9.2.4_1,528285.2156862745
BEN.9.2.5_1,1.2462042882352943E7
BEN.9.2.6_1,3366413.992156863
BEN.9.2.7_1,594187.2000000001
BEN.9.3.1_1,3447859.0274509806
BEN.9.3.2_1,2867536.439215684
BEN.9.3.3_1,1.4691069525490204E7
BEN.9.3.4_1,3054324.043137255
BEN.9.3.5_1,9043795.792156864
BEN.9.4.1_1,937609.3921568628
BEN.9.4.2_1,5267069.9215686275
BEN.9.4.3_1,1061449.3882352947
BEN.9.4.4_1,467400.1764705882
BEN.9.4.5_1,1450722.8901960782
BEN.9.4.6_1,4048258.22745098
BEN.9.4.7_1,296959.0705882353
BEN.9.5.1_1,1566426.4901960779
BEN.9.5.2_1,8805941.64705882
BEN.9.5.3_1,3418614.752941174
BEN.9.5.4_1,2367819.7803921574
BEN.9.5.5_1,7360833.462745096
BEN.9.5.6_1,1382143.2156862745
BEN.9.7.1_1,2363367.6823529396
BEN.9.7.2_1,2712678.262745098
BEN.9.7.3_1,1428377.7843137253
BEN.9.7.4_1,841061.9490196076
BEN.9.7.5_1,1944623.2470588223
BEN.9.7.6_1,2.5660397925490193E7
BEN.10.1.1_1,9798183.172549022
BEN.10.1.2_1,1.0690301733333329E7
BEN.10.1.3_1,8758529.274509804
BEN.10.1.4_1,2.8972349486274507E7
BEN.10.1.5_1,2.014552963529411E7
BEN.10.1.6_1,7695415.372549016
BEN.10.2.1_1,4935844.57254902
BEN.10.2.2_1,1558812.996078431
BEN.10.2.3_1,820332.0666666668
BEN.10.2.4_1,8446782.133333333
BEN.10.2.5_1,1590773.3411764705
BEN.10.2.6_1,1160582.8
BEN.10.2.7_1,1216149.807843137
BEN.10.2.8_1,245554.3450980393
BEN.10.3.1_1,1793662.3725490198
BEN.10.3.2_1,780354.223529412
BEN.10.3.3_1,1612718.1764705887
BEN.10.4.1_1,2.873562589411765E7
BEN.10.4.2_1,8408201.560784314
BEN.10.4.3_1,4183066.8196078413
BEN.10.4.4_1,1.811166665882353E7
BEN.10.4.5_1,2838647.690196079
BEN.10.5.1_1,3.484588064313722E7
BEN.10.5.2_1,1.070292342352941E7
BEN.10.5.3_1,5442596.50980392
BEN.10.5.4_1,2454970.525490196
BEN.10.5.5_1,3843687.878431373
BEN.10.5.6_1,1.1056464458823532E7
BEN.10.5.7_1,1047936.1333333335
BEN.10.6.1_1,2734443.713725491
BEN.10.6.2_1,1395987.0745098041
BEN.10.6.3_1,4507903.678431372
BEN.10.6.4_1,1050810.0078431375
BEN.10.6.5_1,1521282.0588235299
BEN.10.7.1_1,7131666.996078435
BEN.10.7.2_1,1703340.431372549
BEN.10.7.3_1,3332656.4588235295
BEN.10.7.4_1,1212332.2039215686
BEN.10.7.5_1,1408637.6039215685
BEN.10.7.6_1,1965117.2901960786
BEN.10.7.7_1,2381769.8235294125
BEN.10.8.1_1,2.1053437301960763E7
BEN.10.8.2_1,7657915.466666666
BEN.10.8.3_1,5356745.498039218
BEN.10.8.4_1,3.67126512235294E7
BEN.10.8.5_1,4.218648740392158E7
BEN.10.9.1_1,3.364228683921567E7
BEN.10.9.2_1,4147629.3568627452
BEN.10.9.3_1,1.236457699607843E7
BEN.10.9.4_1,5.298139948235295E7
BEN.10.9.5_1,2.0300868858823523E7
BEN.10.9.6_1,2.3026421133333325E7
BEN.11.1.1_1,3612729.964705883
BEN.11.1.2_1,9857182.247058826
BEN.11.1.3_1,437797.6235294119
BEN.11.1.4_1,1499033.6627450981
BEN.11.1.5_1,5845430.125490196
BEN.11.1.6_1,3008285.137254903
BEN.11.2.1_1,8294023.945098039
BEN.11.2.2_1,2655772.3764705886
BEN.11.2.3_1,1.87812778039216E7
BEN.11.2.4_1,1742299.5921568624
BEN.11.2.5_1,2277639.3176470594
BEN.11.2.6_1,4057214.1725490172
BEN.11.3.1_1,4468225.674509805
BEN.11.3.2_1,1.1989433196078433E7
BEN.11.3.3_1,2.568701835294117E7
BEN.11.3.4_1,7763346.525490194
BEN.11.3.5_1,5533447.462745102
BEN.11.3.6_1,973403.3960784316
BEN.11.4.1_1,1488392.6156862748
BEN.11.4.2_1,1449762.4941176467
BEN.11.4.3_1,2549758.384313726
BEN.11.4.4_1,2.1484938670588236E7
BEN.11.4.5_1,2687364.470588235
BEN.11.5.1_1,4119322.384313727
BEN.11.5.2_1,5023963.231372552
BEN.11.5.3_1,9205707.913725488
BEN.11.5.4_1,3879384.1098039215
BEN.11.5.5_1,4940289.866666668
BEN.11.5.6_1,4333526.023529411
BEN.12.1.1_1,7097603.450980392
BEN.12.1.2_1,1783456.882352941
BEN.12.1.3_1,3.2202103078431375E7
BEN.12.1.4_1,1.0304532329411767E7
BEN.12.1.5_1,3133080.5686274506
BEN.12.1.6_1,1.5362148164705884E7
BEN.12.1.7_1,6241584.580392158
BEN.12.2.1_1,2440121.0352941174
BEN.12.2.2_1,2125521.5999999996
BEN.12.2.3_1,2996994.9215686275
BEN.12.2.4_1,2738867.929411765
BEN.12.2.5_1,2789293.2156862747
BEN.12.2.6_1,1876727.1137254897
BEN.12.2.7_1,803414.0470588236
BEN.12.2.8_1,2698772.8352941186
BEN.12.2.9_1,4300766.54509804
BEN.12.2.10_1,161868.7411764706
BEN.12.3.1_1,2.2792342447058827E7
BEN.12.3.2_1,7669896.952941175
BEN.12.3.3_1,5001429.345098037
BEN.12.3.4_1,5071384.729411769
BEN.12.3.5_1,1.9532601098039217E7
BEN.12.3.6_1,5211215.647058826
BEN.12.3.7_1,6619866.529411764
BEN.12.3.8_1,1.7078476831372555E7
BEN.12.3.9_1,3820669.5568627473
BEN.12.3.10_1,3896981.4784313724
BEN.12.4.1_1,3904085.3254901953
BEN.12.4.2_1,54787.19215686275
BEN.12.4.3_1,1797189.6235294114
BEN.12.4.4_1,3602800.2941176468
BEN.12.4.5_1,985961.062745098
BEN.12.4.6_1,2729376.7607843145
BEN.12.4.7_1,2637317.333333333
BEN.12.4.8_1,2995776.7607843117
BEN.12.5.1_1,901024.8078431371
BEN.12.5.2_1,2878748.988235294
BEN.12.5.3_1,3308480.172549019
BEN.12.5.4_1,7140865.964705883
BEN.12.5.5_1,1537843.694117647
BEN.12.5.6_1,370878.7764705883
BEN.12.5.7_1,3372457.4039215688
BEN.12.5.8_1,1931012.8000000005
BEN.12.5.9_1,2672413.878431373
BEN.12.5.10_1,211914.60784313732
BEN.12.5.11_1,4680721.850980393
BEN.12.5.12_1,461829.9882352941
BEN.12.6.1_1,2123807.3254901962
BEN.12.6.2_1,2717752.215686274
BEN.12.6.3_1,678053.9568627451
BEN.12.6.4_1,2611564.960784314
BEN.12.7.1_1,2040498.9098039211
BEN.12.7.2_1,4130978.5019607833
BEN.12.7.3_1,3409761.1019607843
BEN.12.7.4_1,5896455.803921568
BEN.12.7.5_1,3731342.756862745
BEN.12.7.6_1,6454621.447058826
BEN.12.7.7_1,7056579.556862742
BEN.12.7.8_1,3625998.56862745
BEN.12.8.1_1,1391352.3843137256
BEN.12.8.2_1,2589436.956862745
BEN.12.8.3_1,1088373.4901960786
BEN.12.8.4_1,1417841.4352941175
BEN.12.8.5_1,1515921.1725490196
BEN.12.8.6_1,3597518.2862745095
BEN.12.9.1_1,2954287.898039216
BEN.12.9.2_1,1839997.454901961
BEN.12.9.3_1,2527090.011764707
BEN.12.9.4_1,1946074.6980392155
BEN.12.9.5_1,1503617.3960784313
BEN.12.9.6_1,1013482.0235294119
BEN.12.9.7_1,653077.4313725489
BEN.12.9.8_1,2943093.235294118
BEN.12.9.9_1,1661527.1372549017
BEN.12.9.10_1,5399790.882352942
BEN.12.9.11_1,1779529.48627451
