ADM3_PCODE,volume_batis_m3
BF130001,7731.0
BF130002,482655.93333333335
BF130003,68880.34509803922
BF130004,7450222.768627451
BF130005,26461.611764705885
BF130006,769778.6862745098
BF130007,42565.40784313726
BF460101,12245.0
BF460102,12889.0
BF460103,184844.0
BF460104,105325.88235294117
BF460105,23414.0
BF460106,34704.0
BF460107,0.0
BF460108,60595.698039215684
BF460109,20441.0
BF460110,1903.0
BF460201,13235.686274509804
BF460202,65569.0
BF460203,0.0
BF460204,16835.0
BF460205,144816.0
BF460206,35332.0
BF460301,394.4470588235294
BF460302,9637.835294117647
BF460303,11094.960784313726
BF460304,40280.0
BF460305,12064.313725490196
BF460306,15942.121568627452
BF460307,0.0
BF460308,18.0
BF460309,214456.7294117647
BF460311,32648.0
BF460401,37936.0
BF460402,370164.0
BF460403,38714.0
BF460404,27707.0
BF460405,7979.0
BF460406,50110.0
BF460407,10944.0
BF460501,23420.0
BF460502,7474.0
BF460503,3486.0
BF460504,17326.0
BF460505,16130.0
BF460506,43459.0
BF460601,59934.0
BF460602,0.0
BF460603,0.0
BF460604,17807.0
BF460605,74108.0
BF460606,1408.0
BF460607,0.0
BF460608,79356.0
BF470101,285155.0
BF470102,26333.0
BF470103,4947.0
BF470104,10111.0
BF470105,98741.0
BF470106,1350.0
BF470107,57742.0
BF470108,30383.0
BF470109,11012.0
BF470201,170.0
BF470202,23702.0
BF470203,0.0
BF470204,23.0
BF470205,0.0
BF470206,342.0
BF470207,1558.0
BF470208,538.0
BF480101,8723.0
BF480102,6918.0
BF480103,52536.92549019608
BF480104,6839.011764705882
BF480105,66820.0
BF480106,46176.0
BF480107,45827.87450980392
BF480108,47922.0
BF480109,67921.14117647058
BF480110,168858.0
BF480111,59448.0
BF480112,0.0
BF480113,11506.058823529413
BF480202,2873.0
BF480201,501.0
BF480203,0.0
BF480204,9104.0
BF480205,15439.168627450981
BF480206,1972.3450980392156
BF480207,98867.25098039216
BF480208,525.0
BF480301,1978.0
BF480302,10872.0
BF480303,700.0
BF480304,1520.0
BF480305,8002.64705882353
BF480306,273062.9529411765
BF480307,395318.1372549019
BF480308,3388.0
BF480309,0.0
BF490101,34859.0
BF490102,28278.0
BF490103,101254.0
BF490104,0.0
BF490105,472.0
BF490106,0.0
BF490107,5518.0
BF490108,3778.0
BF490109,0.0
BF490201,5406.0
BF490202,66076.0
BF490203,0.0
BF490204,16851.854901960785
BF490205,0.0
BF490206,17210.0
BF490207,75631.0
BF490208,283.0
BF490301,4314.0
BF490302,86182.13725490196
BF490303,0.0
BF490304,309264.4235294118
BF490305,18853.0
BF490306,13685.0
BF490307,2810.0
BF490308,11568.0
BF490309,0.0
BF490310,31306.0
BF490311,855.0
BF500101,3477.0
BF500102,23273.0
BF500103,13701.0
BF500104,10757.0
BF500105,950065.6941176471
BF500107,4428.0
BF500106,54314.0
BF500108,1125.0
BF500109,4366.0
BF500110,5440.0
BF500111,156996.50980392157
BF500112,2796.0
BF500113,403.0
BF500114,0.0
BF500115,3621.0
BF500201,3946.0
BF500202,1941.0
BF500203,130.86274509803923
BF500204,0.0
BF500205,10413.188235294117
BF500206,83071.57647058823
BF500207,103930.17647058824
BF500208,23998.0
BF500209,340.0
BF500210,4431.0
BF500301,13490.0
BF500302,10990.0
BF500303,172774.0
BF500304,395.0
BF500305,650.0
BF500306,0.0
BF500307,20888.0
BF500401,0.0
BF500402,0.0
BF500404,5591.0
BF500405,0.0
BF500403,0.0
BF500406,90746.0
BF510101,7676.882352941177
BF510102,118.0
BF510103,53518.117647058825
BF510104,3959.0
BF510105,98548.0
BF510106,15712.870588235293
BF510107,16808.176470588238
BF510201,2145.0
BF510202,268178.09411764704
BF510203,24073.0
BF510204,2702.709803921569
BF510205,17159.145098039215
BF510301,9464.411764705883
BF510302,24037.0
BF510303,4048.0
BF510304,42079.94117647059
BF510305,928.0
BF510306,120704.0
BF510307,27273.0
BF520101,3233.0
BF520102,1838.858823529412
BF520103,0.0
BF520104,1528.0
BF520105,15771.0
BF520106,18267.0
BF520107,75.0
BF520201,25584.988235294117
BF520202,2721.850980392157
BF520203,397433.14901960787
BF520204,3166.0
BF520205,388.0
BF520206,0.0
BF520301,0.0
BF520302,168.0
BF520303,44198.0
BF520401,42363.0
BF520402,0.0
BF520403,54792.0
BF520501,5528.0
BF520502,28818.0
BF520503,30642.0
BF520504,4198.0
BF520505,21631.0
BF520506,4282.0
BF520507,2259.0
BF520508,4561.0
BF530101,29665.41176470588
BF530102,2552767.0
BF530103,58896.768627450976
BF530104,35238.0
BF530105,8058.0
BF530106,103.0
BF530107,62376.0
BF530108,9367.0
BF530109,16922.0
BF530110,29952.0
BF530111,555.0
BF530112,6122.098039215686
BF530113,12905.0
BF530201,0.0
BF530202,174.0
BF530203,62215.0
BF530204,0.0
BF530205,27180.72156862745
BF530206,10622.376470588235
BF530207,16355.23137254902
BF530208,3895.0
BF530209,3200.0
BF530210,152461.62352941177
BF530212,20999.0
BF530211,6263.0
BF530213,46154.0
BF530301,8072.0
BF530302,16977.0
BF530303,63007.64705882353
BF530304,54822.35294117647
BF530305,193241.0
BF530306,4840.0
BF530307,44110.0
BF540101,6850.0
BF540102,5531.0
BF540103,0.0
BF540104,71264.0
BF540201,21226.0
BF540202,4385.098039215686
BF540204,42297.0
BF540205,0.0
BF540206,1267.0
BF540207,42530.0
BF540208,1551.0
BF540209,2559.0
BF540210,202944.0
BF540301,305.0
BF540302,0.0
BF540303,4530.0
BF540304,15414.0
BF540305,148.0
BF540306,45575.0
BF540307,373362.8784313726
BF540308,3820.913725490196
BF540309,45.0
BF540310,22972.0
BF540311,0.0
BF540312,9042.0
BF540313,1443.0
BF540401,5329.0
BF540402,5020.0
BF540403,149763.0
BF540404,0.0
BF540405,0.0
BF550101,27673.129411764705
BF550102,3530.0
BF550103,1180.0
BF550104,51976.0
BF550105,2533.0
BF550106,7751.0
BF550107,103126.38823529411
BF550108,12138.0
BF550201,50994.0
BF550202,30649.0
BF550203,0.0
BF550204,10860.0
BF550205,318.0
BF550301,0.0
BF550302,25423.0
BF550303,42351.0
BF550304,6498.0
BF550305,1708.0
BF550306,133818.0
BF550307,4690.0
BF560101,12438.0
BF560102,90622.0
BF560103,0.0
BF560104,0.0
BF560105,0.0
BF560201,9148.0
BF560202,127733.0
BF560203,17555.0
BF560204,0.0
BF560205,0.0
BF560206,12990.0
BF560301,0.0
BF560302,0.0
BF560303,0.0
BF560304,147516.0
BF560305,3098.0
BF560306,1758.0
BF560307,1490.0
BF560308,368.0
BF560309,3378.0
BF560401,0.0
BF560402,695.0
BF560403,385.0
BF560404,17429.0
BF560405,0.0
BF560406,0.0
BF570102,126498.0
BF570103,3147.0
BF570101,7959.0
BF570104,0.0
BF570105,0.0
BF570201,64206.86274509804
BF570202,38705.0
BF570203,4250.568627450981
BF570204,613.0
BF570205,315.0
BF570206,3043.0
BF570207,16266.0
BF570208,2736.0
BF570301,61073.0
BF570302,0.0
BF570303,615.0
BF570304,5801.0
BF570305,0.0
BF570401,2108.0
BF570402,0.0
BF570403,0.0
BF570404,141076.0
BF570405,0.0
BF570406,49906.0
BF570407,15448.0
BF570408,0.0
BF570409,890.0
BF570410,0.0
