ADM3_PCODE,population_BFA_2020
BF130001,17727.30178034809
BF130002,112779.39767815683
BF130003,39853.25763286143
BF130004,2976474.7676874343
BF130005,26130.820979913588
BF130006,98799.71951954156
BF130007,54935.315885315424
BF460101,34337.39035591668
BF460102,15000.462547469835
BF460103,26925.80445473356
BF460104,43029.26096987086
BF460105,28620.982363758514
BF460106,28769.476407591887
BF460107,12515.040178851867
BF460108,12137.345706923283
BF460109,18135.216003822108
BF460110,18245.785753296903
BF460201,19506.38334643425
BF460202,55381.51211738541
BF460203,10239.869031188231
BF460204,32575.296606310196
BF460205,137806.06734847592
BF460206,33611.277903991475
BF460301,56364.54139787443
BF460302,12471.804802795656
BF460303,9685.679509732978
BF460304,49755.83439674074
BF460305,30987.777775923132
BF460306,27683.26316892917
BF460307,11786.271853643075
BF460308,3999.925230851418
BF460309,72136.07289914931
BF460311,7875.262256963924
BF460401,59552.24730483718
BF460402,99856.77233187068
BF460403,13397.024590062123
BF460404,22980.059037052786
BF460405,40101.59884172222
BF460406,54024.42602933455
BF460407,39617.877776257876
BF460501,34331.18533338127
BF460502,17006.177760830637
BF460503,17836.525976961104
BF460504,28970.320078309658
BF460505,32553.587538463606
BF460506,33604.48241662862
BF460601,20687.538502003503
BF460602,13883.065449517091
BF460603,19759.59977408673
BF460604,30515.412955635038
BF460605,19610.353859768045
BF460606,18963.2409312645
BF460607,29195.73719380276
BF460608,63238.94613618555
BF470101,133156.01021729724
BF470102,11279.971825074606
BF470103,79432.26253109328
BF470104,14835.701557831868
BF470105,94227.23512298943
BF470106,92787.29075840117
BF470107,190833.51253011497
BF470108,40046.23926762722
BF470109,85203.40907175656
BF470201,15588.965049168013
BF470202,9300.777640653423
BF470203,10450.923768382703
BF470204,32420.39280843787
BF470205,41187.31445700256
BF470206,11187.129538038726
BF470207,19427.298927697942
BF470208,4936.790609352403
BF480101,38240.76191981482
BF480102,30993.5475587971
BF480103,23362.35920728399
BF480104,58566.49814617787
BF480105,89516.54172894207
BF480106,25115.42137941485
BF480107,82758.26139706426
BF480108,23695.204429065347
BF480109,17018.1181715845
BF480110,134692.58194446546
BF480111,88332.97808969815
BF480112,9654.749803776967
BF480113,13709.331120982013
BF480202,12666.359133954373
BF480201,62062.82167462834
BF480203,14765.181726545905
BF480204,45127.781027486024
BF480205,51818.15410637673
BF480206,50458.66205892786
BF480207,48485.7660853809
BF480208,31276.9173379344
BF480301,53456.01571463838
BF480302,15742.055747875162
BF480303,41042.97414192279
BF480304,30754.72116412418
BF480305,34776.91337859197
BF480306,70064.4954455227
BF480307,99208.18780077522
BF480308,20374.7009330139
BF480309,18888.072294384627
BF490101,57740.944439521256
BF490102,23612.962762416784
BF490103,81840.58207065224
BF490104,11156.325587068462
BF490105,33060.96052608496
BF490106,13860.31141811538
BF490107,24958.638416694095
BF490108,36281.47800098306
BF490109,30222.116788896445
BF490201,38521.317434663986
BF490202,86758.5236272599
BF490203,47029.187024539126
BF490204,30289.76225342526
BF490205,21849.22159093276
BF490206,91280.28526467455
BF490207,37529.78110062457
BF490208,25006.516686685587
BF490301,100456.90219961632
BF490302,91773.0721052914
BF490303,25250.623921950773
BF490304,133826.80750431414
BF490305,51221.56453917511
BF490306,52967.833555906574
BF490307,9750.907166356428
BF490308,41068.30731945467
BF490309,32475.624326660844
BF490310,110327.69350833904
BF490311,31824.576245753684
BF500101,14775.627744008863
BF500102,27339.958503725786
BF500103,33531.65912580407
BF500104,33286.728099662534
BF500105,144851.16160816388
BF500107,26859.093018391988
BF500106,32505.867686305442
BF500108,20800.13433210227
BF500109,29297.26588402509
BF500110,19221.610939097267
BF500111,49266.005477770064
BF500112,25780.754922733864
BF500113,16732.2763730512
BF500114,13631.47429411452
BF500115,46889.237192073844
BF500201,16560.843753868212
BF500202,41408.372167549
BF500203,21077.731804549287
BF500204,16853.47263336594
BF500205,21816.121164281754
BF500206,42835.26348374326
BF500207,60654.45353530093
BF500208,39626.556788943955
BF500209,15171.395955233675
BF500210,23694.937735579577
BF500301,48339.08905779868
BF500302,20078.411249961995
BF500303,68290.7371942215
BF500304,8277.606431429478
BF500305,35186.45379133447
BF500306,28731.533475887925
BF500307,53602.717368721926
BF500401,31831.26052936627
BF500402,25836.3616450046
BF500404,9239.780017114448
BF500405,20246.902161084137
BF500403,54471.79116453037
BF500406,107547.63932725528
BF510101,20471.972281071434
BF510102,23241.857107538846
BF510103,12308.785873870285
BF510104,32449.76562211371
BF510105,63812.916230547475
BF510106,31693.863507250655
BF510107,26011.871849764833
BF510201,60308.66969554094
BF510202,61277.86285370908
BF510203,48959.32429508282
BF510204,5190.750173789848
BF510205,23849.884606723434
BF510301,43600.42816328543
BF510302,47115.27258197064
BF510303,55224.12423284139
BF510304,46153.38731523931
BF510305,27725.605810995265
BF510306,33211.322539637986
BF510307,30827.49575883497
BF520101,119847.40879498997
BF520102,100075.96172081768
BF520103,34907.361830393405
BF520104,44321.82822972223
BF520105,99242.24789066896
BF520106,69771.34297241295
BF520107,24895.96502292066
BF520201,44140.74379555581
BF520202,37972.90995270324
BF520203,175061.5958217611
BF520204,79551.61150988605
BF520205,26921.525200233315
BF520206,27555.35417322536
BF520301,20578.90739738648
BF520302,23149.12931181326
BF520303,67295.55453612852
BF520401,41505.10068311716
BF520402,14151.694498115865
BF520403,95780.37800425089
BF520501,62304.71690169326
BF520502,41639.385935205995
BF520503,74701.87364443953
BF520504,75483.71378238387
BF520505,18799.10710649808
BF520506,64253.65096792909
BF520507,60073.16486469236
BF520508,58821.951140237514
BF530101,69701.06676724862
BF530102,783854.2586076022
BF530103,21325.82275606678
BF530104,20162.571592969838
BF530105,24534.431394000436
BF530106,36100.54847983654
BF530107,113784.67857375948
BF530108,14872.239622824976
BF530109,24700.16723463237
BF530110,45897.55119622422
BF530111,66209.78639246033
BF530112,28008.086472271534
BF530113,18620.967159869066
BF530201,26742.94156179456
BF530202,18257.57839822972
BF530203,26984.37313720816
BF530204,25221.52056729679
BF530205,23045.92150414693
BF530206,20746.313936431357
BF530207,45575.14216845983
BF530208,33171.50187165306
BF530209,35128.01277438763
BF530210,39151.13238304649
BF530212,52773.51858819197
BF530211,5664.167894861039
BF530213,26955.561157215212
BF530301,13074.974213011707
BF530302,25274.926282763005
BF530303,20005.388606959954
BF530304,42709.34565018125
BF530305,108015.44783451398
BF530306,34211.652829291
BF530307,54701.75510270992
BF540101,39840.24537268652
BF540102,30843.22394134914
BF540103,15888.169567342587
BF540104,72295.26339028437
BF540201,48583.24280147281
BF540202,23651.30155507681
BF540204,54252.19097967
BF540205,21453.383730718087
BF540206,22349.609084217016
BF540207,27222.776811886437
BF540208,15455.295458020275
BF540209,33601.305000157605
BF540210,78570.30181619496
BF540301,24599.26205266803
BF540302,13759.131552554072
BF540303,52261.56106072638
BF540304,21077.716030911022
BF540305,59967.83746271094
BF540306,36003.27420020089
BF540307,139757.78307126358
BF540308,42767.661071350885
BF540309,35599.36141264427
BF540310,65231.21379238833
BF540311,36842.25388553082
BF540312,28695.791491920267
BF540313,19379.364769083597
BF540401,23775.46444387472
BF540402,26637.76594184283
BF540403,92778.44677897001
BF540404,12259.469502187838
BF540405,35109.440551452346
BF550101,99054.02012126043
BF550102,19943.13176929665
BF550103,37508.183663462674
BF550104,60476.58844882704
BF550105,15861.662854280086
BF550106,40834.36311664569
BF550107,54843.253556631214
BF550108,30320.15748665546
BF550201,45649.313170113695
BF550202,11506.93892957311
BF550203,24731.443552942146
BF550204,37912.33445713337
BF550205,17057.903971110605
BF550301,29471.748592183467
BF550302,31782.29804132631
BF550303,29547.876341667237
BF550304,21234.464713812475
BF550305,16357.101193809094
BF550306,72870.42325725968
BF550307,38835.35888836757
BF560101,30466.380281582366
BF560102,140625.86036351215
BF560103,27669.56273391535
BF560104,25954.585053671213
BF560105,24134.904245578724
BF560201,56050.961038844434
BF560202,125427.40494979413
BF560203,22107.31187126743
BF560204,35642.12844014539
BF560205,30200.756867696953
BF560206,35964.05764367506
BF560301,115369.05464667271
BF560302,28190.00770351385
BF560303,4407.7132297846065
BF560304,68461.56401927742
BF560305,30452.3838233452
BF560306,27097.381628116775
BF560307,18948.423006513796
BF560308,31147.71278598849
BF560309,84815.66244514988
BF560401,29462.94623139221
BF560402,52470.47220667526
BF560403,38371.37301448806
BF560404,27298.66590905837
BF560405,20384.36073639317
BF560406,24687.97261276155
BF570102,42304.867464942785
BF570103,6854.8621019836755
BF570101,23477.649803828586
BF570104,52985.84902542618
BF570105,10012.244830007961
BF570201,50111.319230079695
BF570202,35204.34135336253
BF570203,38562.0257567279
BF570204,11480.216360225668
BF570205,8795.84082984276
BF570206,22131.89843386139
BF570207,7217.6006186135855
BF570208,21957.57330411659
BF570301,36672.598211352575
BF570302,13095.118517358107
BF570303,9524.223046162428
BF570304,15183.53939307123
BF570305,11477.792241242345
BF570401,9765.545385023252
BF570402,17950.523605980477
BF570403,51540.62611729782
BF570404,58572.37206343138
BF570405,17222.663026306655
BF570406,56833.29373139962
BF570407,63876.84540328742
BF570408,10909.111788193495
BF570409,23473.72591670847
BF570410,8874.700453637206
