ADM3_PCODE,primary_school_age_girl_BFA_2020,secondary_school_age_girl_BFA_2020
BF130001,1291.300524227292,1812.8492096526952
BF130002,8705.31346537366,12324.874874560972
BF130003,2930.9460347657127,4142.964957808514
BF130004,212648.45650848586,302894.3449122821
BF130005,2298.674349218256,3151.859879326353
BF130006,7720.685292689474,10848.736363199647
BF130007,4233.351311698616,5944.996796962328
BF460101,3285.50734658475,2922.2571436077965
BF460102,1412.6200556521326,1256.2647990769033
BF460103,2539.9334315582805,2267.138374275552
BF460104,4094.054225399915,3654.33087018705
BF460105,2733.672684446501,2431.630120184374
BF460106,2689.984274119957,2405.175744570938
BF460107,1176.3152559027951,1046.1153028815402
BF460108,1169.4635637947158,1040.094411536759
BF460109,1663.1239061631413,1479.6969193023795
BF460110,1689.3389394171102,1503.9741793146322
BF460201,1845.5098779033212,1641.2404010202376
BF460202,5198.16890818465,4650.218107943444
BF460203,1012.4093316145976,907.9407687694419
BF460204,3137.0889750132665,2789.861620793828
BF460205,12910.214751916777,11482.42612568677
BF460206,3255.179603841727,2896.1040002039817
BF460301,5361.762848375588,4765.641249711841
BF460302,1178.7033909545225,1048.239109582995
BF460303,935.3646441211886,831.8342066105677
BF460304,4712.545015873631,4191.016749322182
BF460305,2905.0488467352066,2583.5047545414354
BF460306,2625.1250506335614,2334.5666004582936
BF460307,1113.3439094206865,988.2095976081545
BF460308,385.5568678631501,342.9411070384232
BF460309,6564.24721110054,5837.686293914508
BF460311,768.4705931296536,683.4127548837195
BF460401,5635.575365374284,5093.86469549858
BF460402,9624.582204622859,8559.289389898493
BF460403,1320.245620876668,1174.114794388004
BF460404,2209.59242088561,1965.0246274405836
BF460405,3855.3226471475527,3428.5978900090154
BF460406,5105.2637648283335,4540.189807697843
BF460407,3764.17066855571,3350.120582011165
BF460501,3275.924914061322,2913.330552844908
BF460502,1640.5961931237991,1461.1184158058732
BF460503,1698.8375459287683,1510.8024328355702
BF460504,2771.4620008234897,2464.81127689212
BF460505,3164.634411593979,2816.832570572461
BF460506,3125.620275330543,2779.662311639974
BF460601,1977.6644301947433,1755.0228564828046
BF460602,1322.842378793511,1176.7326888809005
BF460603,1819.2847359961152,1617.6862423270356
BF460604,2889.0341242575178,2569.7647512870662
BF460605,1892.7118282205915,1683.2178223602912
BF460606,1784.8790894601852,1589.8400985713085
BF460607,2789.8454732878536,2480.0906572325575
BF460608,5889.264164419731,5237.515943272912
BF470101,11304.493294604143,11449.411895312513
BF470102,1110.8324797366179,1127.3749223996608
BF470103,7128.068741103244,7219.200704280539
BF470104,1361.0722714320702,1379.488369425606
BF470105,8544.733250945928,8651.652901223597
BF470106,8323.69539266475,8410.606992308303
BF470107,17154.900437207318,17395.126193241984
BF470108,3592.5561583313265,3638.452646672958
BF470109,7589.324542880523,7688.929184746274
BF470201,1386.3091526092262,1403.7745264474086
BF470202,806.1440049158593,816.4784145983996
BF470203,943.6399408751843,956.2602873175753
BF470204,2870.906725144386,2907.674362884782
BF470205,3654.6478543519966,3701.244260080189
BF470206,1011.5047238443417,1025.910047914935
BF470207,1734.9207765296385,1757.5139848615613
BF470208,458.1727541269625,464.04632560938006
BF480101,3607.1750631783525,3370.017103024091
BF480102,2961.1629818776078,2766.477838633576
BF480103,1848.324451489542,1726.8042074755126
BF480104,5465.045892837934,5101.060242029268
BF480105,8420.16490486837,7866.639643242312
BF480106,2303.326316224127,2153.04289996361
BF480107,7770.607202569761,7259.719502309725
BF480108,2259.7009673342986,2111.704698358798
BF480109,1661.7987572900222,1552.9561434053912
BF480110,12621.406251791885,11791.59703782727
BF480111,8478.337446491385,7921.976626887976
BF480112,880.7068769038892,823.0771424821779
BF480113,1335.2027932197445,1250.431531127528
BF480202,1227.6100221661964,1146.8993627725858
BF480201,5921.365266951391,5520.68764788777
BF480203,1488.2042395764697,1390.360499314701
BF480204,4277.138793468941,3995.9332871217357
BF480205,4829.979513841517,4512.4268268851665
BF480206,4814.4701269082,4491.790191288498
BF480207,4285.499561349084,4003.7443643401652
BF480208,3008.628363993121,2810.8225657720213
BF480301,5087.9805148367805,4744.50187846539
BF480302,1493.369891819299,1395.1664449055988
BF480303,3917.8621376243286,3660.334646445629
BF480304,2869.421175328423,2674.911861760008
BF480305,3304.5657362937927,3092.629968446844
BF480306,6773.003844590279,6328.776226829077
BF480307,9632.486688950481,9000.073373959114
BF480308,1907.0096756318044,1781.6310880941512
BF480309,1768.209458083733,1651.9564454003873
BF490101,5522.410061209807,5301.875614547728
BF490102,2252.0587153761985,2160.7518918934993
BF490103,7666.409224262657,7360.684373888663
BF490104,1074.6765891673517,1031.82010512352
BF490105,3255.8527942059086,3124.509178486993
BF490106,1320.4652262631585,1267.661518875758
BF490107,2384.160790628547,2289.084043175567
BF490108,3503.722082247452,3362.9383473751586
BF490109,2962.168503310867,2844.04168698285
BF490201,3707.8822107156107,3560.0174512638764
BF490202,8405.557421565985,8067.354072591372
BF490203,4536.801532035248,4355.639021784654
BF490204,2853.2653035537883,2727.5722424030314
BF490205,2108.1293393013507,2023.9493919681101
BF490206,8826.315264414332,8464.742375916127
BF490207,3682.005724316015,3532.5948600455818
BF490208,2417.238789794025,2306.3974492690136
BF490301,9658.7327556942,9273.303106756302
BF490302,8576.049346208576,8234.049442837288
BF490303,2473.5825483130466,2374.7559574043034
BF490304,12380.296091955779,11886.588588860917
BF490305,5013.934416771873,4811.3689702435995
BF490306,5060.494370128591,4856.549614987652
BF490307,973.9259766676844,935.0872731012458
BF490308,3982.6644553357482,3823.7693033190326
BF490309,3204.477825987573,3076.467604373485
BF490310,10682.44086802894,10256.441219894561
BF490311,3144.015400664012,3018.278789214527
BF500101,1464.5482607701238,1445.6584162057607
BF500102,2633.0654047900557,2599.540184575436
BF500103,3208.698763798732,3166.925275146261
BF500104,3222.70539264492,3186.026949236441
BF500105,13463.699391192089,13292.274177507332
BF500107,2634.1049669695844,2600.566498780716
BF500106,3141.8845669026477,3095.7480341425116
BF500108,2021.7320427296213,1995.9905425726197
BF500109,2812.9142811924794,2776.878154779885
BF500110,1854.485076584535,1830.8730361405537
BF500111,4784.784851440728,4723.706607612908
BF500112,2525.8842921640357,2489.0637510140746
BF500113,1596.7525488442066,1576.4220600165572
BF500114,1322.9372895156632,1306.0931268505026
BF500115,4345.897230080996,4290.5635560830415
BF500201,1582.8625951149888,1559.4832348781472
BF500202,3980.8021205864693,3926.4306198858753
BF500203,2022.9039246905083,1989.4207982334442
BF500204,1714.465865123973,1689.4745903192784
BF500205,1953.3035907605117,1928.4333438162719
BF500206,4042.579440065927,3991.1076930845475
BF500207,5781.606574425042,5707.992837939543
BF500208,3849.8075995333065,3796.150669093226
BF500209,1463.2065246404384,1440.9125533992171
BF500210,2276.5143886729784,2238.800759897043
BF500301,4566.882928182099,4507.498537060793
BF500302,1983.9897855440777,1954.0022689216282
BF500303,6356.5871190015,6275.652511040836
BF500304,802.8828046396668,792.6601790451534
BF500305,3326.212213620016,3274.0573386201663
BF500306,2769.75406883511,2733.1326597124944
BF500307,5085.282002942232,5020.534177545004
BF500401,3060.8638655246464,3021.1061737168075
BF500402,2537.9500736755476,2505.1395560839596
BF500404,896.3483667612078,884.9357047029569
BF500405,1951.9179414982896,1927.0653463948006
BF500403,5156.5267156395275,5090.871756790198
BF500406,10228.836798609485,10097.415198796172
BF510101,1934.876782718126,1866.3812116746803
BF510102,2163.0780097914685,2085.272751767027
BF510103,1109.6533517659877,1058.912033949646
BF510104,3034.3677582899713,2917.4064279210347
BF510105,5799.0824490771565,5533.465360099663
BF510106,2898.458623970727,2848.4228375841567
BF510107,2408.9389834146873,2297.6174071545693
BF510201,5630.944451966003,5376.5093417102225
BF510202,5827.510824005277,5557.237182732189
BF510203,4408.652015448549,4204.216794500165
BF510204,438.58005657757025,418.242498106115
BF510205,2106.109608308006,2008.1384279447443
BF510301,4033.872851684982,3846.7886578681428
BF510302,4455.542865179102,4248.367670793159
BF510303,5094.86322288584,4848.208296272861
BF510304,4275.076295477706,4075.2964204803984
BF510305,2538.1657924418346,2420.4675607447516
BF510306,3053.4451696564165,2911.8527337897062
BF510307,2870.422989541409,2737.6514753757738
BF520101,11588.163010866974,10203.530951242814
BF520102,9640.320097937773,8489.015488266003
BF520103,3359.857600911457,2983.1277612833414
BF520104,4172.351855611801,3684.0474445413147
BF520105,9700.761952708745,8553.288455770056
BF520106,6706.638624997231,5904.8423014107875
BF520107,2356.014269088296,2075.0926897385534
BF520201,4323.89782254883,3817.983644150286
BF520202,3680.20364550282,3239.667548908908
BF520203,16907.80897372096,14915.528308927787
BF520204,7679.106612078121,6760.581693860828
BF520205,2577.9575443197696,2272.062807648322
BF520206,2629.0567008873973,2314.347384227488
BF520301,2007.5434079763927,1770.3730447995904
BF520302,2336.7790006114,2066.65808801955
BF520303,6475.967873154898,5700.788269842372
BF520401,4041.388038812724,3558.3432765497582
BF520402,1349.36258309238,1187.3638774081774
BF520403,9167.046522769188,8070.655918425193
BF520501,5972.423757173503,5257.235850413873
BF520502,3998.088710647005,3519.2352837858275
BF520503,7221.495198952921,6360.921288984202
BF520504,7161.991157891704,6304.655140133699
BF520505,1771.2032025225014,1559.182613580367
BF520506,6186.481476727183,5445.9332191673
BF520507,5815.007650444786,5118.926391077976
BF520508,5640.303235263922,4965.133243142858
BF530101,6032.251347782097,6608.742182545107
BF530102,65852.03336292059,72145.3874463932
BF530103,1798.7192775230778,1970.619475155251
BF530104,1616.5261422961366,1758.6549131907666
BF530105,2071.9605755029947,2266.9355201309804
BF530106,3077.0708860308505,3371.1407085194305
BF530107,9643.72148857256,10557.071583059249
BF530108,1277.504413076476,1395.105841663772
BF530109,2202.2270516797603,2412.6897208330697
BF530110,3867.3894651756545,4212.3592158922975
BF530111,5736.312295347567,6277.006666277904
BF530112,2422.8453778692324,2654.3921207614985
BF530113,1613.7046060132047,1765.835667325468
BF530201,2351.1592846636677,2575.8551243567003
BF530202,1597.5371613350567,1750.2107640525867
BF530203,2242.2702438670035,2455.5368426350988
BF530204,2206.997044391259,2415.9581716518765
BF530205,1999.7889151213203,2186.304274653454
BF530206,1846.7860627305272,2021.438925076934
BF530207,3848.8975086777823,4216.729358575855
BF530208,2762.05807175309,3024.358544014949
BF530209,3019.370474323102,3307.3555303704507
BF530210,3280.6290971082803,3593.1670158844368
BF530212,4520.5321441757915,4952.55084153858
BF530211,515.5123632938255,564.1341100003201
BF530213,2285.1598114775684,2503.480775780303
BF530301,1110.3871579936908,1211.383816022967
BF530302,2167.7751403359803,2373.171228069418
BF530303,1681.187843190923,1836.5133198513704
BF530304,3611.0411435379674,3940.5634921962173
BF530305,9051.851055049437,9911.26432623629
BF530306,2897.1642483393366,3117.051355669076
BF530307,4677.196077458531,5119.279000415989
BF540101,4028.1633696715035,3757.8432439537605
BF540102,3112.738290460435,2910.7274368496505
BF540103,1553.3187820074597,1452.5094146639692
BF540104,7239.939341397847,6770.804995397496
BF540201,4882.3266125127375,4568.939862597222
BF540202,2380.6489128327826,2224.8771157007586
BF540204,5550.356014604192,5191.5770668272835
BF540205,2194.4805858706145,2051.6129965498158
BF540206,2261.3830573194186,2114.1599051494227
BF540207,2720.9432443581363,2545.8928221160295
BF540208,1557.2497519474402,1458.8518419639731
BF540209,3339.50065659822,3127.4625756450732
BF540210,7551.6830659239895,7060.044732739884
BF540301,2472.9138399544886,2311.919365730472
BF540302,1420.0219936817311,1323.0776629632596
BF540303,5129.169858602098,4795.244767059767
BF540304,2125.0926294850365,1987.7569005666996
BF540305,6067.247651318009,5672.250735827521
BF540306,3611.8366267260385,3376.694704170788
BF540307,14460.744106257203,13519.304129300399
BF540308,4399.279178048116,4112.872257492591
BF540309,3579.7226374523316,3348.9547575772986
BF540310,6579.8212504770245,6154.76076801244
BF540311,3660.6178626322294,3421.2498638213856
BF540312,3002.606337084491,2806.356573532141
BF540313,1858.715042833253,1736.9700276000824
BF540401,2304.142439408395,2154.1355177159408
BF540402,2658.1012550858904,2483.1000440284324
BF540403,8949.544272261042,8364.931537296256
BF540404,1254.834333697487,1173.1406710353551
BF540405,3526.6186579573387,3297.024684104732
BF550101,9530.708081047216,9062.240647182278
BF550102,1886.5943979487693,1797.9765845280062
BF550103,3606.3411226020125,3432.533486885183
BF550104,5598.152309985254,5334.347136449812
BF550105,1510.6458940973464,1436.8624177166055
BF550106,3896.419259371479,3708.6313022061913
BF550107,5190.521880434071,4928.218459452837
BF550108,2872.4743787522425,2730.522950998941
BF550201,4327.56531524658,4125.2603129919835
BF550202,1061.2410906268099,1013.6973361062065
BF550203,2426.271571509043,2309.990212277805
BF550204,3639.4859919136647,3476.931119718741
BF550205,1637.7794088429093,1558.8466189459264
BF550301,2802.6277164206786,2667.9909651578637
BF550302,3028.4914446606376,2892.4964187005003
BF550303,2833.1967973727806,2789.7392112713223
BF550304,1981.0070395768855,1892.9481038822848
BF550305,1551.6038714820274,1476.9124028046926
BF550306,6891.403938786188,6561.315610279757
BF550307,3597.8747820779395,3424.674940963819
BF560101,2801.062702929974,2678.032530713781
BF560102,12788.540799117773,12227.422124963416
BF560103,2557.6907985390408,2445.3694011980438
BF560104,2351.8553784246565,2248.6637800670132
BF560105,2216.9382999525346,2118.6264566573427
BF560201,5091.66028255809,4868.278923536982
BF560202,11509.200404314899,11004.214918051974
BF560203,1989.73103420454,1902.2694894440037
BF560204,3260.645122862331,3117.954727739446
BF560205,2733.108963529267,2613.1892213078086
BF560206,3248.3848832205235,3107.352529271443
BF560301,10467.926198245032,10008.717263551795
BF560302,2576.0367472174125,2462.6485921429644
BF560303,401.3388403843432,383.72942459758593
BF560304,6258.036373729335,5983.455899365744
BF560305,2800.133553719055,2677.3583911259957
BF560306,2482.689625139447,2373.7574518627976
BF560307,1748.7674407298648,1672.0373376135753
BF560308,2781.101907051778,2658.7351677029737
BF560309,7730.994995062954,7391.857142555944
BF560401,2728.672606423322,2608.4506897849196
BF560402,4775.023308001777,4561.310435776615
BF560403,3539.4502794261084,3384.1509529880427
BF560404,2495.6863148600455,2385.921669305305
BF560405,1886.9962494688878,1805.629494252158
BF560406,2265.6105170899764,2168.2577166928945
BF570102,4082.4607824031036,3468.908831772616
BF570103,659.9139975627264,560.7356981436412
BF570101,2184.0599131467307,1869.3435144597415
BF570104,4899.2210626504,4164.359084443482
BF570105,947.6392514803832,805.2187951223525
BF570201,4668.95241784208,3968.0406248003824
BF570202,3263.2829078580817,2773.9157810912407
BF570203,3593.910320408671,3057.37442629197
BF570204,1137.239461882909,968.8691984279482
BF570205,782.8404078291913,669.7365605209388
BF570206,2095.421971965304,1789.8170230762637
BF570207,668.7560198021871,569.251694058437
BF570208,2044.1222147338528,1737.0557295191518
BF570301,3395.4936771126345,2887.193625099051
BF570302,1179.2101107775002,1002.0805677367191
BF570303,864.0965804703095,734.8048426953018
BF570304,1384.2335716205487,1176.7225154722444
BF570305,1080.4277824041887,918.052834994653
BF570401,921.1994376304101,782.7526231840542
BF570402,1659.5532125108375,1411.6730087350397
BF570403,4679.100122676178,4042.456822193371
BF570404,5418.451447913228,4604.113840126994
BF570405,1631.1625502717259,1387.1165215108904
BF570406,5299.246627453728,4502.990454301182
BF570407,5969.324457869806,5095.329681369839
BF570408,1032.6499079601435,877.4532218175774
BF570409,2179.8174430861186,1856.5400274300112
BF570410,821.7501204570137,698.2495151758193
