ADM3_PCODE,population_NER_2020
NE001001001,5230612.593438453
NE001002001,1637665.0427377005
NE001002002,4402984.058779937
NE001002003,5526314.845746004
NE001003001,291009.56653104036
NE001003002,267747.92425491964
NE001003003,871955.1602290465
NE001003004,190018.05079401933
NE001004001,2701596.9540223405
NE001004002,1011232.5993121376
NE001005001,7549548.716379631
NE001006001,4323992.761031982
NE001006002,4579023.923857232
NE001006003,5595310.583637721
NE001006004,1.4030491604766015E7
NE002001001,9833773.024375895
NE002001002,271036.9153673356
NE002002001,6473270.7025674675
NE002002002,4496124.930921932
NE002002003,5992723.024228673
NE002003001,1.1531179445581228E7
NE002004001,835891.671439345
NE002004002,1.3124217235520726E7
NE002004003,2536964.315999568
NE002005001,8645693.453296771
NE002006001,5488503.710347947
NE002006002,7315998.849268833
NE003001001,7194278.469885851
NE003001002,4249384.189890505
NE003001003,3070154.7190361265
NE003001004,3035579.8195247245
NE003001005,2194645.5546062747
NE003001006,2342169.29284556
NE003001007,3354258.1544761797
NE003001008,3118142.5034657544
NE003002001,5317409.085935215
NE003002002,5283111.422825047
NE003002003,1346091.965403166
NE003003001,9329995.482103195
NE003003002,7188921.465602928
NE003003003,6277522.282946452
NE003003004,3031437.250164993
NE003003005,1.1855958028994909E7
NE003003006,3351895.9063661206
NE003004001,1.1495029004247807E7
NE003004002,6235369.1447599195
NE003004003,3534786.7821200765
NE003004004,5064708.088796384
NE003004005,3223297.500443942
NE003004006,4887263.447769042
NE003004007,5409869.256614356
NE003004008,5302297.558596359
NE003004009,2485161.840371369
NE003004010,2434342.593774815
NE003004011,4986954.888753861
NE003005001,7742821.136228688
NE003005002,3589609.591610057
NE003006001,2253827.766948553
NE003006002,2182502.1371697746
NE003006003,7911627.262229745
NE003006004,3894695.2109499224
NE003006005,4340700.60602209
NE003006006,8609764.574258542
NE003007001,6188468.151979645
NE003007002,8514576.123467062
NE003007003,4008415.131634232
NE003008001,4140801.003624637
NE003008002,8591225.305569973
NE003008003,6815157.2688249545
NE003008004,7961665.838970299
NE004001001,1.558309677051499E7
NE004001002,8546584.594143985
NE004002001,2628555.423196847
NE004002002,9799503.789171323
NE004003001,9703984.277973948
NE004003002,1021906.4247145792
NE004003003,5874274.98440673
NE004003004,6332567.508666318
NE004003005,5829280.653617856
NE004003006,8575910.092786843
NE004003007,2456206.538644906
NE004003008,1.5799064100008147E7
NE004003009,4643724.439826585
NE004003010,2110575.4508773056
NE004003011,4212679.35112054
NE004003012,4259983.895463378
NE004004001,4830953.478703312
NE004004002,1.8260545151934747E7
NE004005001,1.5915546456417877E7
NE004005002,1.4454969493776055E7
NE004005003,1.1133706834461464E7
NE004005004,1.138391631828343E7
NE004005005,2.6098387705755517E7
NE004006001,1.4195090607881987E7
NE004006002,6729293.567476911
NE004006003,8194916.917394276
NE004006004,8983105.527891776
NE004006005,7105247.779446657
NE004006006,3601610.649213425
NE004007001,8516429.38237065
NE004007002,6020055.516587081
NE004007003,7641196.462923389
NE004008001,4096680.3172596917
NE004008002,6530205.095825441
NE004008003,5272509.537185887
NE004008004,4670422.226824544
NE004008005,1.2671304560442526E7
NE004008006,1.289851570115679E7
NE004008007,1.1942553482359536E7
NE004008008,3707653.341819703
NE004009001,1549689.868656114
NE004009002,4817933.320684361
NE004009003,1798613.2795529233
NE004009004,1.0623691301369403E7
NE004009005,6979531.846167382
NE004009006,1.2172722000846094E7
NE004009007,2.216862428386373E7
NE005001001,2.3092546750401314E7
NE005001002,1.0228286261144515E7
NE005001003,1.0258964363177635E7
NE005001004,7593784.066970739
NE005001005,1944428.0299348764
NE005002001,8806456.567171017
NE005003001,7376226.151841477
NE005003002,7398483.290758148
NE005003003,1.4452707527369067E7
NE005003004,9518850.511731524
NE005004001,4510919.363166959
NE005004002,7778619.442802634
NE005004003,1.3322107930225411E7
NE005004004,4536933.132786287
NE005004005,1.4142551684013214E7
NE005004006,4182963.847424601
NE005004007,4944985.54363653
NE005005001,8850284.702761857
NE005005002,2.201928253297017E7
NE005005003,9533151.845230514
NE005006001,6211610.52300612
NE005006002,1.5009751417236464E7
NE005006003,8724731.598868113
NE005006004,1.057733132952026E7
NE005007001,3609227.2848712117
NE005007002,2.2257160879341125E7
NE005007003,6803520.889973733
NE005007004,1.4792256448373947E7
NE005007005,1.2115856800125891E7
NE005007006,1.0573488952322021E7
NE005008001,1.2942374024271738E7
NE005008002,1.1284825416077144E7
NE005009001,7789879.937388692
NE005009002,1.5875848413320825E7
NE005009003,8050064.330089541
NE005009004,1.542690032591321E7
NE005009005,3895284.1133315167
NE005009006,7182327.49814372
NE005010001,2625169.9390945146
NE005011001,1.2104230318485422E7
NE005011002,1.3854528613389399E7
NE005012001,6237973.2647853475
NE005013001,5259791.328854249
NE005013002,8831887.83711475
NE006001001,8853769.976924421
NE006001002,7184831.731900529
NE006002001,5407362.142858175
NE006002002,3170105.0329643907
NE006003001,9808686.41128179
NE006004001,8454871.688095137
NE006005001,5336200.747341329
NE006006001,1.203382514297052E7
NE006006002,3499832.721456845
NE006006003,5626480.39602474
NE006006004,1.2697654192455525E7
NE006007001,1.6883064705215126E7
NE006007002,1.2127051416743007E7
NE006008001,4759640.753071251
NE006008002,4256910.005564225
NE006008003,6254485.720865074
NE006008004,6787908.159771262
NE006008005,4851165.810039132
NE006008006,3512169.4760034517
NE006008007,4977815.755617955
NE006008008,1.1501503559105024E7
NE006008009,3985837.6931719924
NE006008010,4523865.3533071205
NE006008011,5652923.155707082
NE006009001,5158615.537870925
NE006009002,6363343.306254594
NE006009003,8195920.957678148
NE006009004,1.5271258615180105E7
NE006010001,2956207.88743537
NE006010002,4793964.053553668
NE006010003,1.1771588086139277E7
NE006011001,6901655.613228983
NE006011002,1.3034366535297252E7
NE006011003,1.3475376960338134E7
NE006011004,3166500.0883134785
NE006011005,1.27226599471668E7
NE006012001,3765817.612121905
NE006012002,469615.0100398347
NE006012003,2987834.205085438
NE006012004,7345792.690495925
NE006012005,3345310.0611531115
NE006012006,1885300.7749486158
NE006012007,3922633.1314707138
NE006013001,2269945.0329334186
NE006013002,1.8838929247173276E7
NE007001001,1.0765585303833082E7
NE007002001,3618023.9927781173
NE007002002,1.9307234808932148E7
NE007002003,6619966.487011786
NE007002004,859924.8735141968
NE007002005,8786870.64124976
NE007002006,2896945.8855273807
NE007003001,4971250.213339758
NE007003002,1.3541848985750366E7
NE007003003,9397164.04268927
NE007003004,5837169.095726896
NE007004001,1983618.8091582316
NE007004002,1.0843047064368734E7
NE007004003,1432413.7102776524
NE007004004,1.121357330647018E7
NE007004005,7539774.626158372
NE007004006,7648783.8173626065
NE007005001,6777787.220949873
NE007005002,3290802.8800922157
NE007005003,3417462.842805439
NE007005004,5182624.29685917
NE007005005,9060407.099030294
NE007005006,3531785.308810513
NE007005007,8313334.077588942
NE007005008,4948928.217075599
NE007005009,4845773.483502611
NE007006001,1.6966380250110142E7
NE007006002,7874900.363448549
NE007006003,6166667.224746106
NE007006004,2.364414817753537E7
NE007006005,1.4124089737372044E7
NE007006006,1.5828496895851031E7
NE007006007,7131374.403494225
NE007007001,1.3972753110225772E7
NE007007002,8083098.195163955
NE007007003,7302543.497613428
NE007007004,8339952.87220868
NE007007005,4736996.591302367
NE007007006,2169964.4455683357
NE007007007,7876648.39492523
NE007007008,3383136.6448915843
NE007008001,5564533.537034365
NE007008002,7829959.308111437
NE007008003,1.2162070063280024E7
NE007009001,379656.6821438729
NE007009002,1.4035880832593763E7
NE007009003,1.3347614451185796E7
NE007009004,1.8973609395599548E7
NE007009005,4788457.334610646
NE007010001,4338462.656747724
NE007011001,5749817.91368871
NE007011002,1.6786111558541693E7
NE007011003,1.5828667541477092E7
NE007011004,5678394.76139957
NE007011005,3872439.024499242
NE008001001,2.80961248902571E7
NE008001002,1.1466104533447843E7
NE008001003,1.1799569831757287E7
NE008001004,3.1782321409533642E7
NE008001005,2.5988235406117328E7
