ADM3_PCODE,population_density_NER_2020
NE001001001,1.1773249405344957
NE001002001,15.21452697808889
NE001002002,4.0256784400756445
NE001002003,1.3552940775576536
NE001003001,0.08209858936684224
NE001003002,0.06913823807804109
NE001003003,0.06474589200258335
NE001003004,0.06196089665158284
NE001004001,0.2587769181097136
NE001004002,0.6062241361511539
NE001005001,1.424816514174964
NE001006001,122.18056376903832
NE001006002,16.40501235859636
NE001006003,3.5502378706628277
NE001006004,17.943147214015603
NE002001001,68.58462325210317
NE002001002,44.75924661157216
NE002002001,30.497754805497667
NE002002002,150.63070396505984
NE002002003,27.59784358057787
NE002003001,17.05054826616658
NE002004001,15.427310775789675
NE002004002,45.03246623122492
NE002004003,8.479922331148904
NE002005001,0.8799300903270423
NE002006001,9.556766809233421
NE002006002,27.100704522129213
NE003001001,161.27850443844713
NE003001002,69.96806174935254
NE003001003,62.50633425727359
NE003001004,190.21928814121378
NE003001005,117.29567343130226
NE003001006,152.52800736124357
NE003001007,87.27811236703704
NE003001008,148.16191341012401
NE003002001,80.93961174140341
NE003002002,91.1644957623136
NE003002003,123.50651137476395
NE003003001,68.55170225917665
NE003003002,122.76892863733578
NE003003003,27.8641953984551
NE003003004,78.95677911922935
NE003003005,90.39580674116658
NE003003006,28.73383213417764
NE003004001,224.58838373928037
NE003004002,64.4862107036153
NE003004003,61.07502094364756
NE003004004,45.43109735336311
NE003004005,70.07551958090868
NE003004006,78.0019445198356
NE003004007,60.40491961620096
NE003004008,58.12424942371413
NE003004009,50.7629169876192
NE003004010,61.761095847550656
NE003004011,65.62256435977292
NE003005001,79.09371089505206
NE003005002,106.34957649095638
NE003006001,93.64772098292573
NE003006002,147.66079627003347
NE003006003,345.4238033839794
NE003006004,105.84030289451168
NE003006005,231.07816972303615
NE003006006,92.76536780282638
NE003007001,62.68253262470037
NE003007002,77.05579311215492
NE003007003,114.93628304519355
NE003008001,202.85066255159148
NE003008002,87.69208214378169
NE003008003,101.98306076758043
NE003008004,152.91073853734892
NE004001001,154.11361859138643
NE004001002,171.82768152700635
NE004002001,53.246279780825276
NE004002002,22.229349663228398
NE004003001,94.42713690672134
NE004003002,72.70889444276779
NE004003003,39.32046867048925
NE004003004,106.52750514190431
NE004003005,205.95638579101472
NE004003006,89.2558515104334
NE004003007,101.91909235123767
NE004003008,83.05090565417619
NE004003009,91.56077411946428
NE004003010,48.13403811731017
NE004003011,148.48003187300276
NE004003012,30.576004429883554
NE004004001,211.73839094797026
NE004004002,308.31726570814766
NE004005001,137.76786518611962
NE004005002,157.78089978218443
NE004005003,185.37311315132186
NE004005004,203.3720444443455
NE004005005,339.8321000540659
NE004006001,159.7350061521624
NE004006002,147.84604964889016
NE004006003,124.94542305263299
NE004006004,340.68340035788515
NE004006005,110.43415941371401
NE004006006,176.35789647262519
NE004007001,9685.445214101117
NE004007002,6406.052717188499
NE004007003,1673.685558827207
NE004008001,67.28528090588344
NE004008002,61.956753397941725
NE004008003,52.79680165258934
NE004008004,101.11678120242725
NE004008005,209.68840670624772
NE004008006,186.53012692922567
NE004008007,202.34527339274698
NE004008008,55.499258226932035
NE004009001,271.5707837924623
NE004009002,221.47244651034276
NE004009003,411.40783161032994
NE004009004,184.90390569973664
NE004009005,105.90427850544027
NE004009006,60.71632518434308
NE004009007,231.20707288495385
NE005001001,38.870147713376426
NE005001002,71.91814757567427
NE005001003,52.985949775748416
NE005001004,96.22951206024365
NE005001005,9.863484323848425
NE005002001,33.299513777770514
NE005003001,54.0340457040683
NE005003002,234.2973171665139
NE005003003,196.52265281592423
NE005003004,358.89977013142266
NE005004001,113.09230592220659
NE005004002,105.68193692225428
NE005004003,235.38304029467693
NE005004004,183.37067922520097
NE005004005,235.10823127329374
NE005004006,147.06362208253807
NE005004007,169.36505863850425
NE005005001,99.23102138197395
NE005005002,130.66190657694816
NE005005003,177.3702187715388
NE005006001,101.61568089398612
NE005006002,129.77747564246283
NE005006003,140.66144222178497
NE005006004,148.97887712825175
NE005007001,205.477486479144
NE005007002,204.55730952641534
NE005007003,227.99261385801665
NE005007004,220.36790674498283
NE005007005,117.58064235352515
NE005007006,179.99353158473292
NE005008001,203.28227418752203
NE005008002,185.0800341145477
NE005009001,45.30789177337069
NE005009002,69.10205477232586
NE005009003,116.73437566953767
NE005009004,163.86168792963525
NE005009005,25.61470383834469
NE005009006,25.219165575566414
NE005010001,1.0335214079582467
NE005011001,39.86226542439535
NE005011002,21.509342352814592
NE005012001,4.110023232408882
NE005013001,144.35185973148342
NE005013002,307.66624722003894
NE006001001,14.833187973988458
NE006001002,14.996321829224028
NE006002001,49.6295614605733
NE006002002,20.660312277295137
NE006003001,81.17080622106559
NE006004001,15.186050633251444
NE006005001,43.408798690680555
NE006006001,31.51032625150261
NE006006002,63.199607352853675
NE006006003,27.528933736617795
NE006006004,48.34631413311815
NE006007001,81.98899594626515
NE006007002,83.8192386450541
NE006008001,78.4763239093879
NE006008002,49.619042289885385
NE006008003,40.91909438936285
NE006008004,67.70144399283701
NE006008005,50.16644918438784
NE006008006,102.35995682597921
NE006008007,61.64973620274181
NE006008008,825.336129832085
NE006008009,168.7277517154456
NE006008010,52.058053894193165
NE006008011,110.13956871454356
NE006009001,18.157548077613324
NE006009002,43.896977179121535
NE006009003,38.14078889219473
NE006009004,25.26953981934407
NE006010001,40.02607874436321
NE006010002,84.95748958066952
NE006010003,28.533999748783632
NE006011001,64.65510669890074
NE006011002,44.09789627240406
NE006011003,71.68077407305562
NE006011004,89.09749143257048
NE006011005,71.37635829767656
NE006012001,25.83246182298118
NE006012002,71.81841173242388
NE006012003,68.11881138034198
NE006012004,66.86178013162372
NE006012005,55.02587183291439
NE006012006,136.5799686866278
NE006012007,62.31062491893422
NE006013001,32.81922846414798
NE006013002,40.975174762489246
NE007001001,13.581942863385807
NE007002001,203.91439758209745
NE007002002,122.45378346433557
NE007002003,80.2817192352517
NE007002004,82.57356416235697
NE007002005,107.89455748043498
NE007002006,29.633581426690277
NE007003001,114.03598823406735
NE007003002,110.7230959499039
NE007003003,88.4718395495612
NE007003004,61.974750039594696
NE007004001,7.280794910534876
NE007004002,32.71501351995638
NE007004003,30.70858719795658
NE007004004,30.965018563647313
NE007004005,39.93448860566158
NE007004006,13.08688312413194
NE007005001,406.3325516337447
NE007005002,245.10132498970478
NE007005003,163.781436268839
NE007005004,151.62469998699567
NE007005005,318.43127586545694
NE007005006,255.28726158830895
NE007005007,373.8135102899679
NE007005008,333.46384921435754
NE007005009,194.60017837555125
NE007006001,229.32977352785502
NE007006002,192.36934211308844
NE007006003,328.28514307263424
NE007006004,436.5906536835766
NE007006005,440.51695861100217
NE007006006,184.52395968284034
NE007006007,266.20711288173555
NE007007001,178.0818306819818
NE007007002,124.9751153776799
NE007007003,194.29120120737258
NE007007004,182.1497199274556
NE007007005,150.47315429370772
NE007007006,207.00522252781448
NE007007007,266.20418767047533
NE007007008,162.86005520149973
NE007008001,72.43530960381257
NE007008002,143.73155646467654
NE007008003,75.96125650589106
NE007009001,49.857400583139054
NE007009002,37.996986501013204
NE007009003,61.8690019620123
NE007009004,33.724538180792216
NE007009005,5.06756743906334
NE007010001,0.7229264498356205
NE007011001,612.1694000047685
NE007011002,3204.861382048792
NE007011003,2572.3119395862927
NE007011004,931.6709542903866
NE007011005,206.771390207843
NE008001001,2456.138369929534
NE008001002,2444.3676825777293
NE008001003,1319.5106504795433
NE008001004,3853.9154582983087
NE008001005,1759.0834876386243
